axis	maxN	maxN_pat	maxraw	maxraw_pat	over_node_cap	over_byte_cap	compiled	refused
default	1471	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	675586	((a)|ab){4000}c	0	0	2487	284
engine-vm	1471	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	358157	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	0	0	2487	284
no-counter	1489	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	486393	((a)|bc){0,4000}d	0	0	2480	291
no-possessify	1471	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	675586	((a)|ab){4000}c	0	0	2487	284
no-revdet	1471	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	675586	((a)|ab){4000}c	0	0	2487	284
no-length-prune	1471	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	674233	((a)|ab){4000}c	0	0	2487	284
no-splice-calls	1471	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	675589	((a)|ab){4000}c	0	0	2487	284
no-tiered-entry	1471	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	670610	((a)|ab){4000}c	0	0	2487	284
no-premul-table	1471	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	427480	((a)|ab){4000}c	0	0	2487	284
no-offset-skip	1471	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	675586	((a)|ab){4000}c	0	0	2487	284
