idx	bytes	total	prose	tables	table_entries	table_arrays	jump_entries	jump_arrays	labels	slabels	olabels	gotos	addr_taken	engine	rungs	prefilter	dfa_table	ncaps	emit_s	err	pattern
0	16349	28593	12244	3464	524	8	0	0	0	0	0	0	0	dfa			premultiplied	1	0.003		$
1	19699	31985	12286	6432	1044	10	0	0	0	0	0	0	0	dfa			premultiplied	1	0.015		$[^\n]*
2	16820	29261	12441	3519	537	8	0	0	0	0	0	0	0	dfa			premultiplied	1	0.028		$|\n
3																			0.028	pcrec: missing closing ) for group (pattern offset 0)	(
4	24645	43776	19131	3328	528	6	0	0	8	0	2	8	0	vm	0x0u	hybrid	premultiplied	4	0.026		(((a)))
5	29209	49882	20673	3552	576	6	0	0	28	0	2	37	2	vm	0x8u	hybrid	premultiplied	4	0.015		(((a)|b){0,4})c
6	15170	27711	12541	3328	528	6	0	0	0	0	0	0	0	dfa			premultiplied	3	0.005		(()|$){0}b
7	15172	27717	12545	3328	528	6	0	0	0	0	0	0	0	dfa			premultiplied	3	0.010		(()|^){0}[b]
8	24884	44435	19551	3328	528	6	0	0	10	0	2	9	1	vm	0x0u	hybrid	premultiplied	3	0.009		((?!(a))z)
9	24481	44000	19519	3328	528	6	0	0	8	0	2	7	1	vm	0x0u	hybrid	premultiplied	2	0.004		((?!)z)
10	24612	44130	19518	3328	528	6	0	0	8	0	2	7	1	vm	0x0u	hybrid	premultiplied	2	0.009		((?![ab])z)
11	25124	45094	19970	3328	528	6	0	0	12	0	2	10	2	vm	0x0u	hybrid	premultiplied	2	0.010		((?!a(?!b))z)
12	24591	44103	19512	3328	528	6	0	0	8	0	2	7	1	vm	0x0u	hybrid	premultiplied	2	0.010		((?!a)z)
13	24908	44424	19516	3328	528	6	0	0	10	0	2	9	1	vm	0x0u	hybrid	premultiplied	2	0.011		((?!abc)z)
14	25207	44802	19595	3328	528	6	0	0	13	0	2	12	2	vm	0x0u	hybrid	premultiplied	2	0.008		((?!ab|cd)z)
15	25046	44639	19593	3328	528	6	0	0	12	0	2	11	2	vm	0x0u	hybrid	premultiplied	2	0.006		((?!a|bc)z)
16	24770	44164	19394	3328	528	6	0	0	9	0	2	9	0	vm	0x0u	hybrid	premultiplied	3	0.008		((?*(a))z)
17	24367	43729	19362	3328	528	6	0	0	7	0	2	7	0	vm	0x0u	hybrid	premultiplied	2	0.010		((?*)z)
18	24498	43859	19361	3328	528	6	0	0	7	0	2	7	0	vm	0x0u	hybrid	premultiplied	2	0.006		((?*[ab])z)
19	25008	44821	19813	3328	528	6	0	0	11	0	2	10	1	vm	0x0u	hybrid	premultiplied	2	0.008		((?*a(?!b))z)
20	24477	43832	19355	3328	528	6	0	0	7	0	2	7	0	vm	0x0u	hybrid	premultiplied	2	0.014		((?*a)z)
21	24794	44153	19359	3328	528	6	0	0	9	0	2	9	0	vm	0x0u	hybrid	premultiplied	2	0.007		((?*abc)z)
22	25091	44529	19438	3328	528	6	0	0	12	0	2	12	1	vm	0x0u	hybrid	premultiplied	2	0.008		((?*ab|cd)z)
23	24930	44366	19436	3328	528	6	0	0	11	0	2	11	1	vm	0x0u	hybrid	premultiplied	2	0.011		((?*a|bc)z)
24	23503	40964	17461	0	0	0	0	0	18	0	2	19	4	vm	0x4u	none		2	0.006		((?1)*a)
25	23504	40973	17469	0	0	0	0	0	18	0	2	19	4	vm	0x2u	none		2	0.009		((?1)?a)
26	22778	40332	17554	0	0	0	0	0	12	0	2	11	2	vm	0x0u	none		2	0.009		((?1)a)
27	98596	138204	39608	5234	844	9	0	0	445	0	2	457	154	vm	0x7u	hybrid	premultiplied	3	0.011		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
28	162034	216954	54920	5234	844	9	0	0	793	0	2	817	298	vm	0x7u	hybrid	premultiplied	3	0.027		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
29	225862	296094	70232	5234	844	9	0	0	1141	0	2	1177	442	vm	0x7u	hybrid	premultiplied	3	0.045		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
30	288314	371465	83151	5234	844	9	0	0	1471	0	2	1525	544	vm	0x17u	hybrid	premultiplied	3	0.062		((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
