label	bytes	nodes	entries	gcc_cpu_s	dot_o	rc
nested-N2-K1	60902	262	844	0.590	21568	0
nested-N2-K2	103586	498	844	1.260	36616	0
nested-N2-K4	98596	445	844	1.130	35632	0
nested-N2-K8	98596	445	844	1.090	35632	0
nested-N4-K1	60902	262	844	0.600	21440	0
nested-N4-K2	103586	498	844	1.230	36808	0
nested-N4-K4	163386	799	844	3.090	59968	0
nested-N4-K8	162034	793	844	2.330	60336	0
nested-N6-K1	60902	262	844	0.590	21440	0
nested-N6-K2	103586	498	844	1.240	36808	0
nested-N6-K4	227229	1147	844	3.610	84288	0
nested-N6-K8	225862	1141	844	3.870	85408	0
nested-N8-K1	60902	262	844	0.610	21440	0
nested-N8-K2	103586	498	844	1.210	36808	0
nested-N8-K4	163386	799	844	3.130	59840	0
nested-N8-K8	288314	1471	844	7.090	103392	0
a1_2000	97857	0	16520	0.070	28840	0
a1_8000	355863	0	64520	0.100	100840	0
a1_15000	663865	0	120520	0.160	184824	0
a1_20000	883865	0	160520	0.190	244840	0
a1_25000	1103865	0	200520	0.250	304824	0
a1_31000	1367865	0	248520	0.280	376824	0
alt500	83904	132	8544	0.270	25624	0
alt2047	221597	165	33296	0.340	64152	0
alt4000	384611	88	64544	0.280	107952	0
