label	n	k	bytes	N	S	E	J	gcc_cpu_s	dot_o	err
n100_k2	100	2	62478	105	102	256	408	0.240	32056	
n100_k6	100	6	67015	105	102	256	816	0.250	45112	
n100_k14	100	14	76121	105	102	256	1632	0.260	71224	
n100_k26	100	26	88474	105	102	256	2754	0.260	107944	
n200_k2	200	2	104778	205	202	256	808	0.480	58112	
n200_k6	200	6	113765	205	202	256	1616	0.480	83968	
n200_k14	200	14	131799	205	202	256	3232	0.490	135688	
n200_k26	200	26	156262	205	202	256	5454	0.500	208408	
n400_k2	400	2	189378	405	402	256	1608	1.070	122000	
n400_k6	400	6	207265	405	402	256	3216	1.100	173456	
n400_k14	400	14	243157	405	402	256	6432	1.090	276376	
n400_k26	400	26	291838	405	402	256	10854	1.120	421096	
n800_k2	800	2	358578	805	802	256	3208	3.050	238416	
n800_k6	800	6	394265	805	802	256	6416	3.130	341072	
n800_k14	800	14	465871	805	802	256	12832	3.190	546392	
n800_k26	800	26	562993	805	802	256	21654	3.210	835112	
