rxt-00127	((a)|ab){4000}c
rxt-00143	((a)|bc){0,4000}d
rxt-00118	((a)|ab){0,4000}c
rxt-00030	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3}){1,2}){2,3}
rxt-00029	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,6}(){2,3}){1,2}){2,3}
rxt-00028	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,4}(){2,3}){1,2}){2,3}
rxt-00027	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}
rxt-01345	(a{10,20}){10,50}
rxt-00203	(1{0,30}?[^]abc][^abc]){8,8}0+|a
rxt-00119	((a)|ab){0,500}c
rxt-01334	(a{1,20}){1,50}
rxt-01311	(ab){300}
