axis	maxN	maxcode	maxcode_pat	maxtotal	maxtotal_pat	over_code_cap	over_total_cap	compiled	refused
default	1471	284035	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	651412	((a)|ab){4000}c	0	0	2487	284
engine-vm	1471	280276	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	280600	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	0	0	2487	284
no-counter	1489	283965	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	465818	((a)|bc){0,4000}d	0	0	2480	291
no-possessify	1471	284035	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	651412	((a)|ab){4000}c	0	0	2487	284
no-revdet	1471	284035	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	651412	((a)|ab){4000}c	0	0	2487	284
no-length-prune	1471	284035	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	650557	((a)|ab){4000}c	0	0	2487	284
no-splice-calls	1471	284038	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	651415	((a)|ab){4000}c	0	0	2487	284
no-tiered-entry	1471	284035	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	649459	((a)|ab){4000}c	0	0	2487	284
no-premul-table	1471	283986	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	404285	((a)|ab){4000}c	0	0	2487	284
no-offset-skip	1471	284035	((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,8}(){2,3})	651412	((a)|ab){4000}c	0	0	2487	284
