# ENG-BREP design lane -- archived probe output
#
# Task B item 2: .rxt corpus + realistic_patterns.txt possessifiable-quantifier differential (minimal standalone reconstructions) vs python and libpcre2
#
date:        2026-08-16T17:44:12Z
repo commit: 0b9da1f14436cd3c18f4994b0ffef0d74b8bfcd7  (branch lane/nestedlazy)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
source	pattern	pref	lo	hi	why	variant	as_written	possessive	py_status	pcre2_status
harvested_patterns.txt	'\\d+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[\d]){1,}	(?:[\d]){1,}+	same	same
harvested_patterns.txt	'\\D+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[\D]){1,}	(?:[\D]){1,}+	same	same
harvested_patterns.txt	'[\\d]+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[\d]){1,}	(?:[\d]){1,}+	same	same
harvested_patterns.txt	'[\\D]+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[\D]){1,}	(?:[\D]){1,}+	same	same
harvested_patterns.txt	'\\s\\w+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[\w]){1,}	(?:[\w]){1,}+	same	same
harvested_patterns.txt	'\\S+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[\S]){1,}	(?:[\S]){1,}+	same	same
harvested_patterns.txt	'[\\w]+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[\w]){1,}	(?:[\w]){1,}+	same	same
harvested_patterns.txt	'[^\\W]+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[^\W]){1,}	(?:[^\W]){1,}+	same	same
harvested_patterns.txt	'[a\\d]+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[a\d]){1,}	(?:[a\d]){1,}+	same	same
harvested_patterns.txt	'[\\d-]+'	greedy	1	inf	disjoint+unique-iteration	end-here	(?:[\d\-]){1,}	(?:[\d\-]){1,}+	same	same
