# ENG-BREP design lane -- archived probe output
#
# probe_possess_corpus.py over the 756 harvested .rxt patterns.
#
date:        2026-08-16T00:52:27Z
repo commit: 19f5c120258729fab816704dfda8848e0ea28780  (branch eng-brep)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
pattern	kind	lo	hi	verdict	why
\d+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
\D+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[\d]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[\D]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
\s\w+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
\S+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[\w]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[^\W]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[a\d]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[\d-]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(\d|x)+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
\d{2,3}	bounded	2	3	possessifiable	disjoint+unique-iteration
[^\d]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[\da-c]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
\v+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:alpha:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:^alpha:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:xdigit:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[x[:digit:]y]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[^[:alpha:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:alpha:][:digit:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:digit:]-]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
^[[:blank:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:lower:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:upper:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:alnum:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:^ascii:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:cntrl:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:graph:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:print:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:punct:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:space:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
[[:word:]]+	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(foo)?bar	bounded	0	1	possessifiable	disjoint+unique-iteration
a(b|c)+d	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(\d+)-(\d+)	unbounded	1	inf	no	overlap:-
(\d+)-(\d+)	unbounded	1	inf	possessifiable	disjoint+unique-iteration
(a)*b	unbounded	0	inf	possessifiable	disjoint+unique-iteration
(x)(y)?(z)	bounded	0	1	possessifiable	disjoint+unique-iteration
(ab|a)(c|bcd)(d*)	unbounded	0	inf	possessifiable	disjoint+unique-iteration
