# ENG-BREP design lane -- archived probe output
#
# probe_possess.py: the possessification analysis vs python3 re possessive quantifiers, 5016 patterns x 260 subjects.
#
date:        2026-08-16T00:52:27Z
repo commit: 19f5c120258729fab816704dfda8848e0ea28780  (branch eng-brep)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
pattern	verdict	why	differential	n_subjects
a{0,4}c	possessifiable	disjoint+unique-iteration	same	260
a{0,4}[cd]	possessifiable	disjoint+unique-iteration	same	260
a{0,4}(?:c|d)	possessifiable	disjoint+unique-iteration	same	260
a{0,4}a	no	overlap:a	DIVERGES	260
a{0,4}[ac]	no	overlap:a	DIVERGES	260
a{0,4}b?c	possessifiable	disjoint+unique-iteration	same	260
a{0,4}	possessifiable	disjoint+unique-iteration	same	260
a{0,4}c?	possessifiable	disjoint+unique-iteration	same	260
a{0,4}$	no	overlap:a	same	260
a{0,4}ac	no	overlap:a	DIVERGES	260
a{0,4}(?:c|a)	no	overlap:a	DIVERGES	260
a{0,4}b	possessifiable	disjoint+unique-iteration	same	260
a{0,4}ab	no	overlap:a	DIVERGES	260
a{0,4}bc	possessifiable	disjoint+unique-iteration	same	260
a{0,4}\\b	possessifiable	disjoint+unique-iteration	same	260
a{0,4}\\bc	possessifiable	disjoint+unique-iteration	same	260
a{0,4}\\B	possessifiable	disjoint+unique-iteration	same	260
a{0,4}\\Bc	possessifiable	disjoint+unique-iteration	same	260
a{0,4}^	no	overlap:a	DIVERGES	260
a{1,3}c	possessifiable	disjoint+unique-iteration	same	260
a{1,3}[cd]	possessifiable	disjoint+unique-iteration	same	260
a{1,3}(?:c|d)	possessifiable	disjoint+unique-iteration	same	260
a{1,3}a	no	overlap:a	DIVERGES	260
a{1,3}[ac]	no	overlap:a	DIVERGES	260
a{1,3}b?c	possessifiable	disjoint+unique-iteration	same	260
a{1,3}	possessifiable	disjoint+unique-iteration	same	260
a{1,3}c?	possessifiable	disjoint+unique-iteration	same	260
a{1,3}$	no	overlap:a	same	260
a{1,3}ac	no	overlap:a	DIVERGES	260
a{1,3}(?:c|a)	no	overlap:a	DIVERGES	260
a{1,3}b	possessifiable	disjoint+unique-iteration	same	260
a{1,3}ab	no	overlap:a	DIVERGES	260
a{1,3}bc	possessifiable	disjoint+unique-iteration	same	260
a{1,3}\\b	possessifiable	disjoint+unique-iteration	same	260
a{1,3}\\bc	possessifiable	disjoint+unique-iteration	same	260
a{1,3}\\B	possessifiable	disjoint+unique-iteration	same	260
a{1,3}\\Bc	possessifiable	disjoint+unique-iteration	same	260
a{1,3}^	no	overlap:a	same	260
a{2,2}c	possessifiable	exact-count+unique-iteration	same	260
