# ENG-BREP design lane -- archived probe output
#
# probe_rungs.py, DEFAULT engine selection: which S2.5 rung each emitted quantifier took.
#
date:        2026-08-16T00:52:28Z
repo commit: 19f5c120258729fab816704dfda8848e0ea28780  (branch eng-brep)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
pattern	engine	label	rung	detail
(\d|x)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
(foo)?bar	vm	L0	cursor	span-loop cursor {0,1}, stride 3, greedy
a(b|c)+d	vm	L2	frames-unbounded	frames rung, unbounded {1,}, greedy
(\d+)-(\d+)	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
(\d+)-(\d+)	vm	L8	cursor	span-loop cursor {1,}, stride 1, greedy
(a)*b	vm	L0	cursor	span-loop cursor {0,}, stride 1, greedy
(x)(y)?(z)	vm	L2	cursor	span-loop cursor {0,1}, stride 1, greedy
(ab|a)(c|bcd)(d*)	vm	L17	cursor	span-loop cursor {0,}, stride 1, greedy
(a+)(b+)	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
(a+)(b+)	vm	L7	cursor	span-loop cursor {1,}, stride 1, greedy
([a-z]+)	vm	L2	cursor	span-loop cursor {1,}, stride 1, greedy
([^0-9]+)	vm	L2	cursor	span-loop cursor {1,}, stride 1, greedy
(\w+)\s(\w+)	vm	L3	cursor	span-loop cursor {1,}, stride 1, greedy
(\w+)\s(\w+)	vm	L8	cursor	span-loop cursor {1,}, stride 1, greedy
((a)|b){0,64}c	vm	L0	frames-bounded	frames rung, bounded {0,64}, greedy
(a(b)?)	vm	L4	cursor	span-loop cursor {0,1}, stride 1, greedy
(a(b))?x	vm	L0	cursor	span-loop cursor {0,1}, stride 2, greedy
(a(b)*c)?d	vm	L0	frames-bounded	frames rung, bounded {0,1}, greedy
(a(b)*c)?d	vm	L8	cursor	span-loop cursor {0,}, stride 1, greedy
((a)|(b))*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
(a*)	vm	L2	cursor	span-loop cursor {0,}, stride 1, greedy
b(a*)b	vm	L4	cursor	span-loop cursor {0,}, stride 1, greedy
(a*)$	vm	L3	cursor	span-loop cursor {0,}, stride 1, greedy
^(a*)	vm	L3	cursor	span-loop cursor {0,}, stride 1, greedy
(a?)(b?)	vm	L3	cursor	span-loop cursor {0,1}, stride 1, greedy
(a?)(b?)	vm	L7	cursor	span-loop cursor {0,1}, stride 1, greedy
(x?)(y?)(z?)	vm	L3	cursor	span-loop cursor {0,1}, stride 1, greedy
