pattern	secs	nfa	dfa	closures	visits	expansions	redirects	nonstacktop	maxdepth	ctxs
\d+	0.0015	6	2	24	46	46	0	0	1	2
\D+	0.0016	6	2	24	46	46	0	0	1	2
[\d]+	0.0013	6	2	24	46	46	0	0	1	2
[\D]+	0.0012	6	2	24	46	46	0	0	1	2
\s\w+	0.0011	7	3	44	76	76	0	0	1	2
\S+	0.0011	6	2	24	46	46	0	0	1	2
[\w]+	0.0011	6	2	24	46	46	0	0	1	2
[^\W]+	0.0012	6	2	24	46	46	0	0	1	2
[a\d]+	0.0012	6	2	24	46	46	0	0	1	2
[\d-]+	0.0010	6	2	24	46	46	0	0	1	2
(\d|x)+	0.0013	14	2	32	138	138	0	0	1	2
\d{2,3}	0.0012	8	4	40	58	58	0	0	0	1
[^\d]+	0.0011	6	2	24	46	46	0	0	1	2
[\da-c]+	0.0010	6	2	24	46	46	0	0	1	2
\h+	0.0021	6	2	24	46	46	0	0	1	2
\H+	0.0011	6	2	24	46	46	0	0	1	2
\v+	0.0010	6	2	24	46	46	0	0	1	2
\V+	0.0012	6	2	24	46	46	0	0	1	2
\N+	0.0013	6	2	24	46	46	0	0	1	2
[\h\d]+	0.0023	6	2	24	46	46	0	0	1	2
[[:alpha:]]+	0.0021	6	2	24	46	46	0	0	1	2
[[:^alpha:]]+	0.0011	6	2	24	46	46	0	0	1	2
[[:xdigit:]]+	0.0010	6	2	24	46	46	0	0	1	2
[x[:digit:]y]+	0.0010	6	2	24	46	46	0	0	1	2
[^[:alpha:]]+	0.0011	6	2	24	46	46	0	0	1	2
[[:alpha:][:digit:]]+	0.0012	6	2	24	46	46	0	0	1	2
[[:digit:]-]+	0.0012	6	2	24	46	46	0	0	1	2
^[[:blank:]]+	0.0020	5	2	12	18	18	0	0	1	2
[[:lower:]]+	0.0021	6	2	24	46	46	0	0	1	2
[[:upper:]]+	0.0010	6	2	24	46	46	0	0	1	2
[[:alnum:]]+	0.0010	6	2	24	46	46	0	0	1	2
[[:^ascii:]]+	0.0010	6	2	24	46	46	0	0	1	2
[[:cntrl:]]+	0.0011	6	2	24	46	46	0	0	1	2
[[:graph:]]+	0.0012	6	2	24	46	46	0	0	1	2
[[:print:]]+	0.0022	6	2	24	46	46	0	0	1	2
[[:punct:]]+	0.0010	6	2	24	46	46	0	0	1	2
[[:space:]]+	0.0011	6	2	24	46	46	0	0	1	2
[[:word:]]+	0.0032	6	2	24	46	46	0	0	1	2
^[[:lower:]]$	0.0009	4	3	16	9	9	0	0	0	1
^[[:^lower:]]$	0.0010	4	3	16	9	9	0	0	0	1
^[^[:lower:]]$	0.0019	4	3	16	9	9	0	0	0	1
^\N{2,3}$	0.0010	8	6	28	25	25	0	0	0	1
\N{2}	0.0011	6	3	32	46	46	0	0	0	1
(a)(b)(c)	0.0034	6	4	72	98	98	0	0	0	1
(foo)?bar	0.0022	11	7	176	426	424	0	0	0	1
a(b|c)+d	0.0010	16	4	88	224	224	0	0	1	2
(\d+)-(\d+)	0.0010	10	4	56	118	116	0	0	1	3
((a)(b))c	0.0010	6	4	72	98	98	0	0	0	1
(a)|(b)	0.0012	8	2	32	58	58	0	0	0	1
(a)*b	0.0012	6	2	32	60	58	0	0	1	2
(x)(y)?(z)	0.0012	8	4	72	116	116	0	0	0	1
(ab|a)(c|bcd)(d*)	0.0025	15	7	138	334	332	0	0	1	2
(a+)(b+)	0.0023	9	3	44	96	94	0	0	1	3
([a-z]+)	0.0022	6	2	24	46	46	0	0	1	2
([^0-9]+)	0.0011	6	2	24	46	46	0	0	1	2
(a[bc]d)	0.0010	6	4	72	98	98	0	0	0	1
(\w+)\s(\w+)	0.0012	10	4	56	118	116	0	0	1	3
(cat|car|carpet|dog|do)	0.0013	21	13	388	496	496	0	0	0	1
(dog|cat|bird|fish)	0.0014	20	12	632	2700	2700	0	0	0	1
((a)|b){0,64}c	0.0159	389	66	1064	55858	47282	0	0	0	1
(a(b)?)	0.0022	7	3	44	54	54	0	0	0	1
(a(b))?x	0.0011	8	4	72	142	140	0	0	0	1
(a)|(b)|(c)	0.0022	11	2	40	86	86	0	0	0	1
(a(b)*c)?d	0.0022	10	4	88	200	198	0	0	1	2
(a)|b	0.0012	8	2	32	58	58	0	0	0	1
((a)|(b))*	0.0012	9	1	20	92	92	0	0	1	2
(a*)	0.0023	5	1	16	40	40	0	0	1	2
b(a*)b	0.0022	7	3	44	74	74	0	0	1	2
(a*)$	0.0021	6	3	28	70	69	0	0	1	2
^(a*)	0.0011	4	1	8	16	16	0	0	1	2
(a?)(b?)	0.0011	9	3	44	76	76	0	0	0	1
(x?)(y?)(z?)	0.0012	12	4	72	140	140	0	0	0	1
a(x?)b	0.0023	8	4	72	116	116	0	0	0	1
(a|ab)	0.0023	7	3	38	50	50	0	0	0	1
(ab|a)	0.0021	7	3	44	54	54	0	0	0	1
(a|ab)(c|bcd)	0.0012	13	7	138	268	268	0	0	0	1
(a|ab)(c|bcd)(d*)	0.0011	15	7	148	342	340	0	0	1	2
(x|xy)(y|z)	0.0023	12	4	64	116	116	0	0	0	1
^(a|ab)$	0.0010	7	4	28	17	17	0	0	0	1
(a+|a)	0.0022	8	2	24	68	66	0	0	1	2
(a|a+)	0.0012	8	2	24	58	56	0	0	1	2
(ab|a)(b|)	0.0022	10	4	56	94	92	0	0	0	1
((a|b)|c)	0.0023	11	2	40	86	86	0	0	0	1
(a)?a	0.0012	7	3	32	52	52	0	0	0	1
(a*)a	0.0023	6	2	24	62	62	0	0	1	2
(a)+	0.0023	6	2	24	46	46	0	0	1	2
(ab)+	0.0012	8	4	56	80	80	0	0	1	2
(a|b)+	0.0024	14	2	32	138	138	0	0	1	2
(a?)*	0.0022	7	1	16	74	56	12	0	1	2
(a*)*	0.0022	6	1	16	78	60	12	0	2	4
(a*)+	0.0023	8	1	16	100	80	12	0	2	5
(a){0,3}	0.0022	10	4	40	60	60	0	0	0	1
(a){2,4}	0.0011	10	5	48	70	70	0	0	0	1
(a){2,4}?	0.0022	10	5	40	58	58	0	0	0	1
(ab){1,3}	0.0022	12	7	92	92	92	0	0	0	1
(a|bb)+	0.0014	14	4	56	170	170	0	0	1	2
((a)+)+	0.0022	10	3	28	86	80	0	0	1	4
(a+)(a+)	0.0012	9	3	32	96	94	0	0	1	3
(a){3}	0.0023	7	4	40	64	64	0	0	0	1
(a){0}	0.0022	4	1	12	20	20	0	0	0	1
(a+)	0.0022	6	2	24	46	46	0	0	1	2
(a+?)	0.0013	6	2	24	38	38	0	0	1	2
(a+?)b	0.0021	7	3	44	76	74	0	0	1	2
(^a|b)+	0.0011	10	3	22	54	54	0	0	1	2
(a+)$	0.0023	7	4	36	77	76	0	0	1	2
(\d+)	0.0012	6	2	24	46	46	0	0	1	2
(a)(b)	0.0022	5	3	44	56	56	0	0	0	1
^(a)	0.0021	3	2	12	8	8	0	0	0	1
(ab)	0.0023	5	3	44	56	56	0	0	0	1
(((a)))	0.0014	4	2	24	26	26	0	0	0	1
((a)(b)(c))	0.0022	6	4	72	98	98	0	0	0	1
(a)(bb)(ccc)	0.0012	9	7	120	188	188	0	0	0	1
((a)(b))+	0.0022	8	4	56	80	80	0	0	1	2
(a(b|c)(d|e))	0.0012	14	4	104	188	188	0	0	0	1
(a(b(c)d)e)	0.0023	8	6	152	218	218	0	0	0	1
(a)(a)(a)	0.0023	6	4	40	60	60	0	0	0	1
(a)(aa)	0.0022	6	4	40	60	60	0	0	0	1
(aa)(a)	0.0013	6	4	40	60	60	0	0	0	1
(aaa)	0.0022	6	4	40	60	60	0	0	0	1
((a)(a))(a)	0.0013	6	4	40	60	60	0	0	0	1
(abc)+	0.0022	10	6	104	126	126	0	0	1	2
(abc)(abc)	0.0012	9	7	120	190	190	0	0	0	1
(?:x)(a)(?:y)(b)	0.0023	7	5	108	152	152	0	0	0	1
(a)(?:b)(c)	0.0023	6	4	72	98	98	0	0	0	1
(\d{2,4})-(\d{2,4})	0.0024	18	10	128	264	254	0	0	0	1
(ABC)	0.0011	6	4	72	98	98	0	0	0	1
(a|B)+	0.0023	14	2	32	138	138	0	0	1	2
(?:(?:a|b*?)?)*	0.0013	10	1	20	158	120	22	0	2	4
((?:a|b*?)?)*	0.0022	10	1	20	158	120	22	0	2	4
(?:(?:a+|b*?)?)*	0.0012	12	2	32	250	192	32	0	2	5
(?:(?:a|b??)?)*	0.0022	11	1	20	156	118	22	0	1	2
(?:(?:a?|b*?)?)*	0.0021	12	1	20	178	132	22	0	2	4
(?:(?:a|b*?)?)+	0.0021	16	3	38	356	274	40	0	2	5
(?:(?:[a]|[b]*?)?)*	0.0011	10	1	20	158	120	22	0	2	4
^(?:(?:a|b*?)?)*	0.0019	9	1	10	38	34	4	0	2	3
(?:(?:a|b*)?)*	0.0013	10	2	32	288	228	36	0	2	4
(?:(?:b*?|a)?)*	0.0021	10	1	20	136	100	20	0	2	4
(?:(?:a|b*?)*)*	0.0013	9	1	20	190	128	42	0	3	7
(?:(?:a|b*?))*	0.0013	8	1	20	108	86	14	0	2	4
(?:(?:a|b*?)?)	0.0011	9	3	38	84	80	0	0	1	2
(?:a(?:b*?)?)*	0.0012	9	2	26	108	100	0	0	2	4
(?:(?:a|)?)*	0.0013	9	1	16	122	92	18	0	1	2
a|b	0.0011	8	2	32	58	58	0	0	0	1
cat|dog	0.0013	10	6	176	402	402	0	0	0	1
a|ab	0.0012	7	3	38	50	50	0	0	0	1
ab|a	0.0012	7	3	44	54	54	0	0	0	1
a|	0.0010	6	2	24	40	40	0	0	0	1
|a	0.0012	6	2	20	34	34	0	0	0	1
a|b|c	0.0013	11	2	40	86	86	0	0	0	1
foo|foobar	0.0013	11	9	164	158	158	0	0	0	1
foobar|foo	0.0011	11	9	200	166	166	0	0	0	1
(a|b)c	0.0013	9	3	56	126	126	0	0	0	1
x(a|b|c)y	0.0013	13	4	104	186	186	0	0	0	1
a|a	0.0010	7	2	24	38	36	0	0	0	1
(ab|cd)(ef|gh)	0.0013	13	7	260	620	620	0	0	0	1
abc|a|abd	0.0013	11	6	108	86	86	0	0	0	1
a|ab|abc	0.0011	10	5	64	70	70	0	0	0	1
abc|ab|a	0.0012	10	5	80	82	82	0	0	0	1
ab|a|ac	0.0013	9	4	64	74	74	0	0	0	1
abx|a|aby	0.0012	11	6	108	86	86	0	0	0	1
foo|foo	0.0012	9	4	56	92	90	0	0	0	1
catfish|cat|dog	0.0012	16	12	492	638	638	0	0	0	1
cat|dog|bird|catfish	0.0014	21	15	632	1568	1568	0	0	0	1
[ab]p|[bc]x|[ab]xy	0.0012	12	6	176	560	560	0	0	0	1
[a-c]x|[b-d]y|[a-c]yz	0.0014	12	6	176	560	560	0	0	0	1
[ab]foo|[cd]foo	0.0014	12	8	138	412	412	0	0	0	1
a|b+|ab	0.0012	11	4	50	100	100	0	0	1	2
ab|b+|a	0.0013	11	4	56	104	104	0	0	1	2
abc|x+|abd|a	0.0013	16	7	152	170	170	0	0	1	2
x(?:yz)|xy	0.0011	9	5	80	126	126	0	0	0	1
(cat|car|cart)s	0.0014	13	9	188	246	246	0	0	0	1
(?:foo|foobar)+	0.0012	22	16	272	226	226	0	0	1	2
^(alpha|alps|alp)	0.0013	12	6	76	30	30	0	0	0	1
(log|login|logout)$	0.0014	18	14	376	469	469	0	0	0	1
(?:abcd|abc|ab|a)z	0.0012	16	9	188	274	274	0	0	0	1
foo.x|foobar|foo.	0.0013	18	16	392	304	304	0	0	0	1
[ac]b|[bc]c|[ac]	0.0013	10	5	80	146	146	0	0	0	1
[ab]xy|a[xz]yy|[ab]	0.0012	13	8	176	150	150	0	0	0	1
[ab]z|abc|[ab]	0.0012	11	5	108	128	128	0	0	0	1
fo|foo|fo|foo	0.0011	12	4	50	84	80	0	0	0	1
q||a	0.0012	8	2	32	54	54	0	0	0	1
q|a+|ab	0.0012	11	4	64	108	108	0	0	1	2
^a	0.0011	3	2	12	8	8	0	0	0	1
a$	0.0012	5	3	32	44	44	0	0	0	1
^abc$	0.0011	6	5	44	13	13	0	0	0	1
^$	0.0011	3	2	8	7	7	0	0	0	1
^a$	0.0011	4	3	16	9	9	0	0	0	1
^abc	0.0011	5	4	36	12	12	0	0	0	1
abc$	0.0011	7	5	88	130	130	0	0	0	1
^	0.0012	2	1	6	6	6	0	0	0	1
$	0.0012	4	2	16	24	24	0	0	0	1
a|^b	0.0013	5	3	22	20	20	0	0	0	1
^a|b$	0.0011	6	4	28	22	22	0	0	0	1
a{3}	0.0011	7	4	40	64	64	0	0	0	1
a{2,4}	0.0011	10	5	48	70	70	0	0	0	1
a{2,}	0.0011	7	3	32	62	62	0	0	1	2
a{0,3}	0.0011	10	4	40	60	60	0	0	0	1
a{0}	0.0010	4	1	12	20	20	0	0	0	1
a{2,4}?	0.0010	10	5	40	58	58	0	0	0	1
a{2,}?	0.0011	7	3	32	54	54	0	0	1	2
a{1,3}?	0.0011	9	4	32	42	42	0	0	0	1
ab{2,3}c	0.0011	10	6	104	168	168	0	0	0	1
(ab){2,3}	0.0011	11	7	92	124	124	0	0	0	1
a{	0.0011	5	3	44	56	56	0	0	0	1
a{2	0.0011	6	4	72	98	98	0	0	0	1
x{1,2}y	0.0010	8	4	56	100	96	0	0	0	1
a{ 1}	0.0010	5	2	24	30	30	0	0	0	1
a{1 }	0.0011	5	2	24	30	30	0	0	0	1
a{\t1}	0.0011	5	2	24	30	30	0	0	0	1
a{1,  2}	0.0011	7	3	32	42	42	0	0	0	1
a{ 1\t,\t2 }	0.0010	7	3	32	42	42	0	0	0	1
a{ 2,}	0.0010	7	3	32	62	62	0	0	1	2
a{ ,2}	0.0011	8	3	32	48	48	0	0	0	1
a{2,2}	0.0010	6	3	32	46	46	0	0	0	1
a{0,0}	0.0010	4	1	12	20	20	0	0	0	1
(a|b){3,3}c	0.0012	20	5	88	362	362	0	0	0	1
abc	0.0010	6	4	72	98	98	0	0	0	1
aBc	0.0010	6	4	72	98	98	0	0	0	1
[0-9]+-[0-9]+	0.0011	10	4	56	118	116	0	0	1	3
\x41\x42	0.0011	5	3	44	56	56	0	0	0	1
[a-z]+	0.0011	6	2	24	46	46	0	0	1	2
[A-Z]+	0.0011	6	2	24	46	46	0	0	1	2
[a-f0-9]+	0.0011	6	2	24	46	46	0	0	1	2
[^a]	0.0011	4	2	24	26	26	0	0	0	1
[^A]	0.0011	4	2	24	26	26	0	0	0	1
[^a-z]+	0.0012	6	2	24	46	46	0	0	1	2
[^0-9]+	0.0012	6	2	24	46	46	0	0	1	2
(cat|DOG)s?	0.0012	13	7	232	484	484	0	0	0	1
^err	0.0010	5	4	28	12	12	0	0	0	1
log$	0.0011	7	5	88	130	130	0	0	0	1
a.c	0.0011	6	5	80	132	132	0	0	0	1
\xe9	0.0010	4	2	24	26	26	0	0	0	1
[\x80-\xff]+	0.0011	6	2	24	46	46	0	0	1	2
[a[:b]	0.0025	4	2	24	26	26	0	0	0	1
[[:alpha]	0.0024	4	2	24	26	26	0	0	0	1
[[:]]	0.0009	5	3	44	56	56	0	0	0	1
[[:]	0.0009	4	2	24	26	26	0	0	0	1
[:]	0.0031	4	2	24	26	26	0	0	0	1
[:a]	0.0009	4	2	24	26	26	0	0	0	1
[.a]x.]	0.0031	7	6	118	194	194	0	0	0	1
[=a]x=]	0.0032	7	5	108	164	164	0	0	0	1
[a[.b]c]d.]	0.0021	9	8	188	312	312	0	0	0	1
[[.a].]	0.0009	6	5	80	132	132	0	0	0	1
[.a].]	0.0009	6	5	80	132	132	0	0	0	1
[[.a\\]x.]	0.0032	7	6	118	194	194	0	0	0	1
[[.b].]	0.0009	6	5	80	132	132	0	0	0	1
[[.b\]]	0.0032	4	2	24	26	26	0	0	0	1
[\0]	0.0009	4	2	24	26	26	0	0	0	1
[\1]	0.0030	4	2	24	26	26	0	0	0	1
[\7]	0.0009	4	2	24	26	26	0	0	0	1
[\12]	0.0030	4	2	24	26	26	0	0	0	1
[\123]	0.0009	4	2	24	26	26	0	0	0	1
[\1234]	0.0031	4	2	24	26	26	0	0	0	1
[\08]	0.0010	4	2	24	26	26	0	0	0	1
[\18]	0.0010	4	2	24	26	26	0	0	0	1
[\077]	0.0019	4	2	24	26	26	0	0	0	1
[\377]	0.0009	4	2	24	26	26	0	0	0	1
[\0777]	0.0009	4	2	24	26	26	0	0	0	1
[\378]	0.0009	4	2	24	26	26	0	0	0	1
a[\18]b	0.0009	6	4	72	98	98	0	0	0	1
[\1-\7]	0.0009	4	2	24	26	26	0	0	0	1
[\0-\7]	0.0009	4	2	24	26	26	0	0	0	1
[\15-\17]	0.0009	4	2	24	26	26	0	0	0	1
[\1-\123]	0.0009	4	2	24	26	26	0	0	0	1
[\8]	0.0010	4	2	24	26	26	0	0	0	1
[\9]	0.0009	4	2	24	26	26	0	0	0	1
[\g]	0.0009	4	2	24	26	26	0	0	0	1
[\k]	0.0010	4	2	24	26	26	0	0	0	1
[^\k]	0.0009	4	2	24	26	26	0	0	0	1
[\g\k]	0.0010	4	2	24	26	26	0	0	0	1
[\81]	0.0009	4	2	24	26	26	0	0	0	1
[\89]	0.0010	4	2	24	26	26	0	0	0	1
[\98]	0.0009	4	2	24	26	26	0	0	0	1
[\9x]	0.0009	4	2	24	26	26	0	0	0	1
[\k<n>]	0.0010	4	2	24	26	26	0	0	0	1
[\g{1}]	0.0012	4	2	24	26	26	0	0	0	1
[\g1]	0.0011	4	2	24	26	26	0	0	0	1
[\k'n']	0.0011	4	2	24	26	26	0	0	0	1
[0-\k]	0.0012	4	2	24	26	26	0	0	0	1
[\k-z]	0.0011	4	2	24	26	26	0	0	0	1
[\8-\9]	0.0011	4	2	24	26	26	0	0	0	1
[\g-\k]	0.0011	4	2	24	26	26	0	0	0	1
[0-\g]	0.0011	4	2	24	26	26	0	0	0	1
[\k\g]+	0.0011	6	2	24	46	46	0	0	1	2
x[\8]y	0.0012	6	4	72	98	98	0	0	0	1
[abc]	0.0011	4	2	24	26	26	0	0	0	1
[a-z]	0.0013	4	2	24	26	26	0	0	0	1
[a-z0-9]	0.0011	4	2	24	26	26	0	0	0	1
[^abc]	0.0024	4	2	24	26	26	0	0	0	1
[]abc]	0.0022	4	2	24	26	26	0	0	0	1
[^]abc]	0.0010	4	2	24	26	26	0	0	0	1
[a-]	0.0023	4	2	24	26	26	0	0	0	1
[-a]	0.0021	4	2	24	26	26	0	0	0	1
[a\-z]	0.0010	4	2	24	26	26	0	0	0	1
[\]]	0.0010	4	2	24	26	26	0	0	0	1
[\n\t]	0.0012	4	2	24	26	26	0	0	0	1
[\x41-\x43]	0.0012	4	2	24	26	26	0	0	0	1
[a-c-e]	0.0024	4	2	24	26	26	0	0	0	1
x[abc]y	0.0011	6	4	72	98	98	0	0	0	1
[]]	0.0021	4	2	24	26	26	0	0	0	1
[^]]	0.0022	4	2	24	26	26	0	0	0	1
[.a]	0.0023	4	2	24	26	26	0	0	0	1
[[.]	0.0021	4	2	24	26	26	0	0	0	1
[^.a.]	0.0012	4	2	24	26	26	0	0	0	1
[a.b.]	0.0022	4	2	24	26	26	0	0	0	1
.	0.0023	4	2	24	26	26	0	0	0	1
...	0.0012	6	4	40	60	60	0	0	0	1
a.	0.0024	5	3	44	52	52	0	0	0	1
..	0.0023	5	3	32	42	42	0	0	0	1
.*	0.0024	5	1	16	40	40	0	0	1	2
.+	0.0024	6	2	24	46	46	0	0	1	2
a*	0.0013	5	1	16	40	40	0	0	1	2
a?	0.0022	6	2	24	36	36	0	0	0	1
(?:a|)	0.0023	6	2	24	40	40	0	0	0	1
(?:a|)b	0.0023	7	3	44	94	90	0	0	0	1
(a|)b	0.0024	7	3	44	94	90	0	0	0	1
(abc)?	0.0022	8	4	72	44	44	0	0	0	1
()	0.0014	4	1	12	20	20	0	0	0	1
(?:)	0.0023	4	1	12	20	20	0	0	0	1
a{0,}	0.0024	5	1	16	40	40	0	0	1	2
x*y*	0.0022	7	2	32	88	88	0	0	1	3
^a*$	0.0021	5	2	12	25	25	0	0	1	2
(?:x|y|)	0.0021	10	2	32	68	68	0	0	0	1
a*b$	0.0023	7	3	44	98	94	0	0	1	2
a$\n	0.0013	6	4	56	80	80	0	0	0	1
$|\n	0.0023	6	3	28	47	47	0	0	0	1
(?:$|[^abc]){2,}	0.0027	13	5	44	199	173	14	0	1	2
.*$	0.0026	6	3	28	70	69	0	0	1	2
a+?$	0.0022	7	3	32	61	60	0	0	1	2
(?:ab$|a)	0.0012	8	4	56	69	69	0	0	0	1
x*$	0.0024	6	3	28	70	69	0	0	1	2
[0-9]+z$	0.0024	8	4	56	106	104	0	0	1	2
.*=.*$	0.0015	9	4	50	209	199	0	0	1	3
a*b*$	0.0013	8	6	62	194	190	0	0	1	3
[a-z]*$	0.0023	6	3	28	70	69	0	0	1	2
[^\n]*$	0.0025	6	3	28	70	69	0	0	1	2
b*$	0.0013	6	3	28	70	69	0	0	1	2
a.*$	0.0026	7	4	50	127	126	0	0	1	2
[a-z]+@[a-z]+$	0.0023	11	6	74	163	160	0	0	1	3
.$	0.0025	5	3	32	44	44	0	0	0	1
a*$	0.0021	6	3	28	70	69	0	0	1	2
a.*|b$	0.0015	9	4	72	210	210	0	0	1	2
=.*|x$	0.0026	9	4	72	210	210	0	0	1	2
a[^\n]*|\n$	0.0027	9	5	62	160	160	0	0	1	2
[a-z].*|q$	0.0026	9	4	56	182	180	0	0	1	2
a.*|b	0.0027	8	3	56	148	148	0	0	1	2
=.*|;	0.0024	8	3	56	148	148	0	0	1	2
a(?:$|.)*	0.0014	8	4	50	182	159	13	0	1	2
x(?:$|[^\n])*	0.0025	8	4	50	182	159	13	0	1	2
(?:=|$)(?:.|$)*	0.0026	10	3	38	221	198	15	0	1	2
x$.*	0.0024	7	4	50	138	138	0	0	1	2
a$.*	0.0022	7	4	50	138	138	0	0	1	2
.*$.*	0.0023	8	2	24	100	98	0	0	1	3
$[^\n]*	0.0022	6	2	24	66	66	0	0	1	2
[a-z]*=	0.0020	6	2	32	60	58	0	0	1	2
.*=	0.0022	6	3	38	100	98	0	0	1	2
x.*y	0.0023	7	4	64	172	170	0	0	1	2
[^\n]*=	0.0022	6	3	38	100	98	0	0	1	2
\.	0.0020	4	2	24	26	26	0	0	0	1
\*	0.0020	4	2	24	26	26	0	0	0	1
\+	0.0020	4	2	24	26	26	0	0	0	1
\?	0.0020	4	2	24	26	26	0	0	0	1
\(	0.0020	4	2	24	26	26	0	0	0	1
\)	0.0020	4	2	24	26	26	0	0	0	1
\[	0.0019	4	2	24	26	26	0	0	0	1
\]	0.0020	4	2	24	26	26	0	0	0	1
\{	0.0020	4	2	24	26	26	0	0	0	1
\|	0.0020	4	2	24	26	26	0	0	0	1
\\	0.0020	4	2	24	26	26	0	0	0	1
\^	0.0020	4	2	24	26	26	0	0	0	1
\$	0.0020	4	2	24	26	26	0	0	0	1
\-	0.0020	4	2	24	26	26	0	0	0	1
