pattern	secs	nfa	dfa	closures	visits	expansions	redirects	nonstacktop	maxdepth	ctxs
\d+	0.0027	6	2	24	46	46	0	0	0	0
\D+	0.0014	6	2	24	46	46	0	0	0	0
[\d]+	0.0024	6	2	24	46	46	0	0	0	0
[\D]+	0.0011	6	2	24	46	46	0	0	0	0
\s\w+	0.0011	7	3	44	76	76	0	0	0	0
\S+	0.0012	6	2	24	46	46	0	0	0	0
[\w]+	0.0013	6	2	24	46	46	0	0	0	0
[^\W]+	0.0020	6	2	24	46	46	0	0	0	0
[a\d]+	0.0012	6	2	24	46	46	0	0	0	0
[\d-]+	0.0010	6	2	24	46	46	0	0	0	0
(\d|x)+	0.0011	14	2	32	138	138	0	0	0	0
\d{2,3}	0.0011	8	4	40	58	58	0	0	0	0
[^\d]+	0.0013	6	2	24	46	46	0	0	0	0
[\da-c]+	0.0011	6	2	24	46	46	0	0	0	0
\h+	0.0012	6	2	24	46	46	0	0	0	0
\H+	0.0014	6	2	24	46	46	0	0	0	0
\v+	0.0010	6	2	24	46	46	0	0	0	0
\V+	0.0011	6	2	24	46	46	0	0	0	0
\N+	0.0011	6	2	24	46	46	0	0	0	0
[\h\d]+	0.0012	6	2	24	46	46	0	0	0	0
[[:alpha:]]+	0.0022	6	2	24	46	46	0	0	0	0
[[:^alpha:]]+	0.0024	6	2	24	46	46	0	0	0	0
[[:xdigit:]]+	0.0010	6	2	24	46	46	0	0	0	0
[x[:digit:]y]+	0.0010	6	2	24	46	46	0	0	0	0
[^[:alpha:]]+	0.0011	6	2	24	46	46	0	0	0	0
[[:alpha:][:digit:]]+	0.0012	6	2	24	46	46	0	0	0	0
[[:digit:]-]+	0.0022	6	2	24	46	46	0	0	0	0
^[[:blank:]]+	0.0010	5	2	12	18	18	0	0	0	0
[[:lower:]]+	0.0010	6	2	24	46	46	0	0	0	0
[[:upper:]]+	0.0010	6	2	24	46	46	0	0	0	0
[[:alnum:]]+	0.0010	6	2	24	46	46	0	0	0	0
[[:^ascii:]]+	0.0011	6	2	24	46	46	0	0	0	0
[[:cntrl:]]+	0.0021	6	2	24	46	46	0	0	0	0
[[:graph:]]+	0.0010	6	2	24	46	46	0	0	0	0
[[:print:]]+	0.0010	6	2	24	46	46	0	0	0	0
[[:punct:]]+	0.0012	6	2	24	46	46	0	0	0	0
[[:space:]]+	0.0010	6	2	24	46	46	0	0	0	0
[[:word:]]+	0.0010	6	2	24	46	46	0	0	0	0
^[[:lower:]]$	0.0010	4	3	16	9	9	0	0	0	0
^[[:^lower:]]$	0.0010	4	3	16	9	9	0	0	0	0
^[^[:lower:]]$	0.0019	4	3	16	9	9	0	0	0	0
^\N{2,3}$	0.0011	8	6	28	25	25	0	0	0	0
\N{2}	0.0010	6	3	32	46	46	0	0	0	0
(a)(b)(c)	0.0010	6	4	72	98	98	0	0	0	0
(foo)?bar	0.0010	11	7	176	426	424	0	0	0	0
a(b|c)+d	0.0012	16	4	88	224	224	0	0	0	0
(\d+)-(\d+)	0.0011	10	4	56	120	116	2	0	0	0
((a)(b))c	0.0011	6	4	72	98	98	0	0	0	0
(a)|(b)	0.0011	8	2	32	58	58	0	0	0	0
(a)*b	0.0011	6	2	32	62	58	2	0	0	0
(x)(y)?(z)	0.0021	8	4	72	116	116	0	0	0	0
(ab|a)(c|bcd)(d*)	0.0012	15	7	138	334	332	0	0	0	0
(a+)(b+)	0.0010	9	3	44	98	94	2	0	0	0
([a-z]+)	0.0010	6	2	24	46	46	0	0	0	0
([^0-9]+)	0.0011	6	2	24	46	46	0	0	0	0
(a[bc]d)	0.0010	6	4	72	98	98	0	0	0	0
(\w+)\s(\w+)	0.0011	10	4	56	120	116	2	0	0	0
(cat|car|carpet|dog|do)	0.0014	21	13	388	496	496	0	0	0	0
(dog|cat|bird|fish)	0.0025	20	12	632	2700	2700	0	0	0	0
((a)|b){0,64}c	0.0025	389	66	1064	55858	47282	0	0	0	0
(a(b)?)	0.0010	7	3	44	54	54	0	0	0	0
(a(b))?x	0.0010	8	4	72	142	140	0	0	0	0
(a)|(b)|(c)	0.0011	11	2	40	86	86	0	0	0	0
(a(b)*c)?d	0.0011	10	4	88	200	198	0	0	0	0
(a)|b	0.0013	8	2	32	58	58	0	0	0	0
((a)|(b))*	0.0010	9	1	20	92	92	0	0	0	0
(a*)	0.0010	5	1	16	40	40	0	0	0	0
b(a*)b	0.0011	7	3	44	74	74	0	0	0	0
(a*)$	0.0021	6	3	28	71	69	1	0	0	0
^(a*)	0.0009	4	1	8	16	16	0	0	0	0
(a?)(b?)	0.0010	9	3	44	76	76	0	0	0	0
(x?)(y?)(z?)	0.0012	12	4	72	140	140	0	0	0	0
a(x?)b	0.0010	8	4	72	116	116	0	0	0	0
(a|ab)	0.0021	7	3	38	50	50	0	0	0	0
(ab|a)	0.0012	7	3	44	54	54	0	0	0	0
(a|ab)(c|bcd)	0.0010	13	7	138	268	268	0	0	0	0
(a|ab)(c|bcd)(d*)	0.0010	15	7	148	342	340	0	0	0	0
(x|xy)(y|z)	0.0010	12	4	64	116	116	0	0	0	0
^(a|ab)$	0.0011	7	4	28	17	17	0	0	0	0
(a+|a)	0.0021	8	2	24	68	66	0	0	0	0
(a|a+)	0.0010	8	2	24	58	56	0	0	0	0
(ab|a)(b|)	0.0010	10	4	56	94	92	0	0	0	0
((a|b)|c)	0.0011	11	2	40	86	86	0	0	0	0
(a)?a	0.0011	7	3	32	52	52	0	0	0	0
(a*)a	0.0021	6	2	24	62	62	0	0	0	0
