pattern	n	base_steps	prune_steps	base_caps	prune_caps	oracle_caps	verdict
(a{10,20}){10,50}	95	0	0	()	()	()	AGREE
(a{10,20}){10,50}	99	0	0	()	()	()	AGREE
(a{10,20}){10,50}	100	10621636	1	(0, 100, 90, 100)	(0, 100, 90, 100)	(0, 100, 90, 100)	AGREE
(a{10,20}){10,50}	101	10260900	1	(0, 101, 91, 101)	(0, 101, 91, 101)	(0, 101, 91, 101)	AGREE
(a{10,20}){10,50}	105	8018776	1	(0, 105, 95, 105)	(0, 105, 95, 105)	(0, 105, 95, 105)	AGREE
(a{10,20}){10,50}	110	1957091	1	(0, 110, 100, 110)	(0, 110, 100, 110)	(0, 110, 100, 110)	AGREE
(a{10,20}){10,50}	120	360728	1	(0, 120, 110, 120)	(0, 120, 110, 120)	(0, 120, 110, 120)	AGREE
(a{10,20}){10,50}	130	66512	1	(0, 130, 120, 130)	(0, 130, 120, 130)	(0, 130, 120, 130)	AGREE
(a{10,20}){10,50}	150	2241	1	(0, 150, 140, 150)	(0, 150, 140, 150)	(0, 150, 140, 150)	AGREE
(a{10,20}){10,50}	200	1	1	(0, 200, 180, 200)	(0, 200, 180, 200)	(0, 200, 180, 200)	AGREE
(a{10,20}){10,50}	300	1	1	(0, 300, 280, 300)	(0, 300, 280, 300)	(0, 300, 280, 300)	AGREE
(a{10,15}){10,40}	99	0	0	()	()	()	AGREE
(a{10,15}){10,40}	100	1329312	1	(0, 100, 90, 100)	(0, 100, 90, 100)	(0, 100, 90, 100)	AGREE
(a{10,15}){10,40}	101	1179264	1	(0, 101, 91, 101)	(0, 101, 91, 101)	(0, 101, 91, 101)	AGREE
(a{10,15}){10,40}	105	303722	1	(0, 105, 95, 105)	(0, 105, 95, 105)	(0, 105, 95, 105)	AGREE
(a{10,15}){10,40}	110	68617	1	(0, 110, 100, 110)	(0, 110, 100, 110)	(0, 110, 100, 110)	AGREE
(a{10,15}){10,40}	150	1	1	(0, 150, 135, 150)	(0, 150, 135, 150)	(0, 150, 135, 150)	AGREE
(a{10,12}){10,50}	99	0	0	()	()	()	AGREE
(a{10,12}){10,50}	100	24150	1	(0, 100, 90, 100)	(0, 100, 90, 100)	(0, 100, 90, 100)	AGREE
(a{10,12}){10,50}	101	17036	1	(0, 101, 91, 101)	(0, 101, 91, 101)	(0, 101, 91, 101)	AGREE
(a{10,12}){10,50}	105	2145	1	(0, 105, 95, 105)	(0, 105, 95, 105)	(0, 105, 95, 105)	AGREE
(a{10,12}){10,50}	110	117	1	(0, 110, 100, 110)	(0, 110, 100, 110)	(0, 110, 100, 110)	AGREE
(a{10,12}){10,50}	150	1	1	(0, 144, 132, 144)	(0, 144, 132, 144)	(0, 144, 132, 144)	AGREE
(a{10,20}){10,30}	99	0	0	()	()	()	AGREE
(a{10,20}){10,30}	100	10621636	1	(0, 100, 90, 100)	(0, 100, 90, 100)	(0, 100, 90, 100)	AGREE
(a{10,20}){10,30}	101	10260900	1	(0, 101, 91, 101)	(0, 101, 91, 101)	(0, 101, 91, 101)	AGREE
(a{10,20}){10,30}	110	1957091	1	(0, 110, 100, 110)	(0, 110, 100, 110)	(0, 110, 100, 110)	AGREE
(a{10,20}){10,30}	150	2241	1	(0, 150, 140, 150)	(0, 150, 140, 150)	(0, 150, 140, 150)	AGREE
(a{11,22}){11,50}	120	0	0	()	()	()	AGREE
(a{11,22}){11,50}	121	111354519	1	(0, 121, 110, 121)	(0, 121, 110, 121)	(0, 121, 110, 121)	AGREE
(a{11,22}){11,50}	122	108024204	1	(0, 122, 111, 122)	(0, 122, 111, 122)	(0, 122, 111, 122)	AGREE
(a{11,22}){11,50}	130	49674598	1	(0, 130, 119, 130)	(0, 130, 119, 130)	(0, 130, 119, 130)	AGREE
(a{11,22}){11,50}	200	488	1	(0, 200, 189, 200)	(0, 200, 189, 200)	(0, 200, 189, 200)	AGREE
(a{10,20}){10,50}	99	0	0	()	()	()	AGREE
(a{10,20}){10,50}	100	10621636	1	(5, 105, 95, 105)	(5, 105, 95, 105)	(5, 105, 95, 105)	AGREE
(a{10,20}){10,50}	101	10260900	1	(5, 106, 96, 106)	(5, 106, 96, 106)	(5, 106, 96, 106)	AGREE
(a{10,20}){10,50}	110	1957091	1	(5, 115, 105, 115)	(5, 115, 105, 115)	(5, 115, 105, 115)	AGREE
(a{10,20}){10,50}	99	0	0	()	()	()	AGREE
(a{10,20}){10,50}	100	10621636	4996	(5, 105, 95, 105)	(5, 105, 95, 105)	(5, 105, 95, 105)	AGREE
(a{10,20}){10,50}	101	10260900	4996	(5, 106, 96, 106)	(5, 106, 96, 106)	(5, 106, 96, 106)	AGREE
(a{10,20}){10,50}	110	1957091	2995	(5, 115, 105, 115)	(5, 115, 105, 115)	(5, 115, 105, 115)	AGREE
(a{10,20}){10,50}b	99	0	0	()	()	()	AGREE
(a{10,20}){10,50}b	100	10621636	46	(0, 101, 90, 100)	(0, 101, 90, 100)	(0, 101, 90, 100)	AGREE
(a{10,20}){10,50}b	101	10260900	46	(0, 102, 91, 101)	(0, 102, 91, 101)	(0, 102, 91, 101)	AGREE
(a{10,20}){10,50}b	110	1957091	37	(0, 111, 100, 110)	(0, 111, 100, 110)	(0, 111, 100, 110)	AGREE
(a{10,20}){10,50}b	150	2241	11	(0, 151, 140, 150)	(0, 151, 140, 150)	(0, 151, 140, 150)	AGREE
(a{10,20}){10,50}bb	100	10621636	211	(0, 102, 90, 100)	(0, 102, 90, 100)	(0, 102, 90, 100)	AGREE
(a{10,20}){10,50}bb	110	1957091	157	(0, 112, 100, 110)	(0, 112, 100, 110)	(0, 112, 100, 110)	AGREE
(a{2,3}){2,3}	0	0	0	()	()	()	AGREE
