pattern	n	base_steps	prune_steps	base_caps	prune_caps	oracle_caps	verdict
((?:ab){1,1}){10,29}	-	-	-	-	-	-	prune-fail: prune_proto: no span-loop scan sites found
((?:abc){8,13}){3,15}	0	0	0	()	()	()	AGREE
((?:abc){8,13}){3,15}	70	0	0	()	()	()	AGREE
((?:abc){8,13}){3,15}	71	0	0	()	()	()	AGREE
((?:abc){8,13}){3,15}	72	38	1	(1, 73, 49, 73)	(1, 73, 49, 73)	(1, 73, 49, 73)	AGREE
((?:abc){8,13}){3,15}	73	38	1	(1, 73, 49, 73)	(1, 73, 49, 73)	(1, 73, 49, 73)	AGREE
((?:abc){8,13}){3,15}	74	38	1	(1, 73, 49, 73)	(1, 73, 49, 73)	(1, 73, 49, 73)	AGREE
((?:abc){8,13}){3,15}	75	33	1	(1, 76, 52, 76)	(1, 76, 52, 76)	(1, 76, 52, 76)	AGREE
((?:abc){8,13}){3,15}	76	33	1	(1, 76, 52, 76)	(1, 76, 52, 76)	(1, 76, 52, 76)	AGREE
((?:abc){8,13}){3,15}	77	33	1	(1, 76, 52, 76)	(1, 76, 52, 76)	(1, 76, 52, 76)	AGREE
((?:abc){8,13}){3,15}	94	4	1	(1, 94, 70, 94)	(1, 94, 70, 94)	(1, 94, 70, 94)	AGREE
((?:abc){8,13}){3,15}	117	1	1	(1, 118, 79, 118)	(1, 118, 79, 118)	(1, 118, 79, 118)	AGREE
((?:abc){8,13}){3,15}	124	1	1	(1, 118, 79, 118)	(1, 118, 79, 118)	(1, 118, 79, 118)	AGREE
((?:[ab][cd]){0,3}){10,39}	-	-	-	-	-	-	prune-fail: prune_proto: 39 scan sites, 0 clamps inserted (slot base 4)
(a{1,8}){7,8}	0	0	0	()	()	()	AGREE
(a{1,8}){7,8}	5	0	0	()	()	()	AGREE
(a{1,8}){7,8}	6	0	0	()	()	()	AGREE
(a{1,8}){7,8}	7	121	1	(0, 7, 6, 7)	(0, 7, 6, 7)	(0, 7, 6, 7)	AGREE
(a{1,8}){7,8}	8	121	1	(0, 8, 7, 8)	(0, 8, 7, 8)	(0, 8, 7, 8)	AGREE
(a{1,8}){7,8}	9	120	1	(0, 9, 8, 9)	(0, 9, 8, 9)	(0, 9, 8, 9)	AGREE
(a{1,8}){7,8}	31	12	1	(0, 31, 30, 31)	(0, 31, 30, 31)	(0, 31, 30, 31)	AGREE
(a{1,8}){7,8}	56	1	1	(0, 56, 48, 56)	(0, 56, 48, 56)	(0, 56, 48, 56)	AGREE
(a{1,8}){7,8}	63	0	0	(0, 63, 56, 63)	(0, 63, 56, 63)	(0, 63, 56, 63)	AGREE
((?:abc){5,5}){4,6}	-	-	-	-	-	-	declined: prune_proto: DECLINED -- 1 scan sites, expected 6 replicas; this is not the two-level replicated shape the prototype patches
([ab]{9,10}){2,8}	0	0	0	()	()	()	AGREE
([ab]{9,10}){2,8}	16	0	0	()	()	()	AGREE
([ab]{9,10}){2,8}	17	0	0	()	()	()	AGREE
([ab]{9,10}){2,8}	18	2	1	(0, 18, 9, 18)	(0, 18, 9, 18)	(0, 18, 9, 18)	AGREE
([ab]{9,10}){2,8}	19	1	1	(0, 19, 10, 19)	(0, 19, 10, 19)	(0, 19, 10, 19)	AGREE
([ab]{9,10}){2,8}	20	1	1	(0, 20, 10, 20)	(0, 20, 10, 20)	(0, 20, 10, 20)	AGREE
([ab]{9,10}){2,8}	27	1	1	(0, 20, 10, 20)	(0, 20, 10, 20)	(0, 20, 10, 20)	AGREE
((?:abc){0,4}){10,27}	-	-	-	-	-	-	prune-fail: prune_proto: 27 scan sites, 0 clamps inserted (slot base 4)
((?:ab){1,6}){5,39}	0	0	0	()	()	()	AGREE
((?:ab){1,6}){5,39}	8	0	0	()	()	()	AGREE
((?:ab){1,6}){5,39}	9	0	0	()	()	()	AGREE
((?:ab){1,6}){5,39}	10	27	1	(1, 11, 9, 11)	(1, 11, 9, 11)	(1, 11, 9, 11)	AGREE
((?:ab){1,6}){5,39}	11	27	1	(1, 11, 9, 11)	(1, 11, 9, 11)	(1, 11, 9, 11)	AGREE
((?:ab){1,6}){5,39}	12	27	1	(1, 13, 11, 13)	(1, 13, 11, 13)	(1, 13, 11, 13)	AGREE
((?:ab){1,6}){5,39}	13	27	1	(1, 13, 11, 13)	(1, 13, 11, 13)	(1, 13, 11, 13)	AGREE
((?:ab){1,6}){5,39}	35	5	1	(1, 35, 33, 35)	(1, 35, 33, 35)	(1, 35, 33, 35)	AGREE
((?:ab){1,6}){5,39}	60	1	1	(1, 61, 49, 61)	(1, 61, 49, 61)	(1, 61, 49, 61)	AGREE
((?:ab){1,6}){5,39}	67	1	1	(1, 67, 61, 67)	(1, 67, 61, 67)	(1, 67, 61, 67)	AGREE
((?:[ab][cd]){8,11}){5,14}	0	0	0	()	()	()	AGREE
((?:[ab][cd]){8,11}){5,14}	78	0	0	()	()	()	AGREE
((?:[ab][cd]){8,11}){5,14}	79	0	0	()	()	()	AGREE
((?:[ab][cd]){8,11}){5,14}	80	302	1	(0, 80, 64, 80)	(0, 80, 64, 80)	(0, 80, 64, 80)	AGREE
((?:[ab][cd]){8,11}){5,14}	81	302	1	(0, 80, 64, 80)	(0, 80, 64, 80)	(0, 80, 64, 80)	AGREE
((?:[ab][cd]){8,11}){5,14}	82	237	1	(0, 82, 66, 82)	(0, 82, 66, 82)	(0, 82, 66, 82)	AGREE
((?:[ab][cd]){8,11}){5,14}	83	237	1	(0, 82, 66, 82)	(0, 82, 66, 82)	(0, 82, 66, 82)	AGREE
((?:[ab][cd]){8,11}){5,14}	95	14	1	(0, 94, 78, 94)	(0, 94, 78, 94)	(0, 94, 78, 94)	AGREE
((?:[ab][cd]){8,11}){5,14}	110	1	1	(0, 110, 88, 110)	(0, 110, 88, 110)	(0, 110, 88, 110)	AGREE
((?:[ab][cd]){8,11}){5,14}	117	1	1	(0, 110, 88, 110)	(0, 110, 88, 110)	(0, 110, 88, 110)	AGREE
(a{11,18}){4,25}	0	0	0	()	()	()	AGREE
(a{11,18}){4,25}	42	0	0	()	()	()	AGREE
(a{11,18}){4,25}	43	0	0	()	()	()	AGREE
(a{11,18}){4,25}	44	374	1	(0, 44, 33, 44)	(0, 44, 33, 44)	(0, 44, 33, 44)	AGREE
(a{11,18}){4,25}	45	350	1	(0, 45, 34, 45)	(0, 45, 34, 45)	(0, 45, 34, 45)	AGREE
(a{11,18}){4,25}	46	320	1	(0, 46, 35, 46)	(0, 46, 35, 46)	(0, 46, 35, 46)	AGREE
(a{11,18}){4,25}	58	8	1	(0, 58, 47, 58)	(0, 58, 47, 58)	(0, 58, 47, 58)	AGREE
(a{11,18}){4,25}	72	1	1	(0, 72, 54, 72)	(0, 72, 54, 72)	(0, 72, 54, 72)	AGREE
(a{11,18}){4,25}	79	1	1	(0, 72, 54, 72)	(0, 72, 54, 72)	(0, 72, 54, 72)	AGREE
((?:abc){0,2}){4,4}	-	-	-	-	-	-	prune-fail: prune_proto: 4 scan sites, 0 clamps inserted (slot base 4)
((?:ab){0,6}){8,20}	-	-	-	-	-	-	prune-fail: prune_proto: 20 scan sites, 0 clamps inserted (slot base 4)
(a{4,11}){9,21}	0	0	0	()	()	()	AGREE
(a{4,11}){9,21}	34	0	0	()	()	()	AGREE
(a{4,11}){9,21}	35	0	0	()	()	()	AGREE
(a{4,11}){9,21}	36	42494	1	(0, 36, 32, 36)	(0, 36, 32, 36)	(0, 36, 32, 36)	AGREE
(a{4,11}){9,21}	37	41075	1	(0, 37, 33, 37)	(0, 37, 33, 37)	(0, 37, 33, 37)	AGREE
(a{4,11}){9,21}	38	39143	1	(0, 38, 34, 38)	(0, 38, 34, 38)	(0, 38, 34, 38)	AGREE
(a{4,11}){9,21}	67	255	1	(0, 67, 63, 67)	(0, 67, 63, 67)	(0, 67, 63, 67)	AGREE
(a{4,11}){9,21}	99	1	1	(0, 99, 88, 99)	(0, 99, 88, 99)	(0, 99, 88, 99)	AGREE
(a{4,11}){9,21}	106	1	1	(0, 106, 99, 106)	(0, 106, 99, 106)	(0, 106, 99, 106)	AGREE
((?:[ab][cd]){4,7}){2,8}	0	0	0	()	()	()	AGREE
((?:[ab][cd]){4,7}){2,8}	14	0	0	()	()	()	AGREE
((?:[ab][cd]){4,7}){2,8}	15	0	0	()	()	()	AGREE
((?:[ab][cd]){4,7}){2,8}	16	4	1	(0, 16, 8, 16)	(0, 16, 8, 16)	(0, 16, 8, 16)	AGREE
((?:[ab][cd]){4,7}){2,8}	17	4	1	(0, 16, 8, 16)	(0, 16, 8, 16)	(0, 16, 8, 16)	AGREE
((?:[ab][cd]){4,7}){2,8}	18	3	1	(0, 18, 10, 18)	(0, 18, 10, 18)	(0, 18, 10, 18)	AGREE
((?:[ab][cd]){4,7}){2,8}	19	3	1	(0, 18, 10, 18)	(0, 18, 10, 18)	(0, 18, 10, 18)	AGREE
((?:[ab][cd]){4,7}){2,8}	22	1	1	(0, 22, 14, 22)	(0, 22, 14, 22)	(0, 22, 14, 22)	AGREE
((?:[ab][cd]){4,7}){2,8}	28	1	1	(0, 28, 14, 28)	(0, 28, 14, 28)	(0, 28, 14, 28)	AGREE
((?:[ab][cd]){4,7}){2,8}	35	1	1	(0, 28, 14, 28)	(0, 28, 14, 28)	(0, 28, 14, 28)	AGREE
([ab]{4,5}){7,17}	0	0	0	()	()	()	AGREE
([ab]{4,5}){7,17}	26	0	0	()	()	()	AGREE
([ab]{4,5}){7,17}	27	0	0	()	()	()	AGREE
