# generated by gen_cases.py --seed 23 --shapes 140 --max-min-iters 60 --max-width 8
# columns: pattern | outer_min | inner_min | stride | lengths | unit | prefix | suffix
# the subject is prefix + (unit repeated, truncated to len) + suffix, so a
# length that is not a multiple of the stride is a RESIDUE case and a
# non-empty prefix SHIFTS THE LATTICE ORIGIN (R26 E2).
((?:ab){1,1}){10,29}	10	1	2	0,18,19,20,21,22,23,27	ab	z	
((?:abc){8,13}){3,15}	3	8	3	0,70,71,72,73,74,75,76,77,94,117,124	abc	z	
((?:[ab][cd]){0,3}){10,39}	10	0	2	0,1,2,3,30,60,67	ac		
(a{1,8}){7,8}	7	1	1	0,5,6,7,8,9,31,56,63	a		
((?:abc){5,5}){4,6}	4	5	3	0,58,59,60,61,62,63,64,65,67	abc	zz	
([ab]{9,10}){2,8}	2	9	1	0,16,17,18,19,20,27	b		
((?:abc){0,4}){10,27}	10	0	3	0,1,2,3,4,5,60,120,127	abc	zz	
((?:ab){1,6}){5,39}	5	1	2	0,8,9,10,11,12,13,35,60,67	ab	z	
((?:[ab][cd]){8,11}){5,14}	5	8	2	0,78,79,80,81,82,83,95,110,117	ac		
(a{11,18}){4,25}	4	11	1	0,42,43,44,45,46,58,72,79	a		
((?:abc){0,2}){4,4}	4	0	3	0,1,2,3,4,5,12,24,31	abc		
((?:ab){0,6}){8,20}	8	0	2	0,1,2,3,48,96,103	ab		
(a{4,11}){9,21}	9	4	1	0,34,35,36,37,38,67,99,106	a		
((?:[ab][cd]){4,7}){2,8}	2	4	2	0,14,15,16,17,18,19,22,28,35	ac		
([ab]{4,5}){7,17}	7	4	1	0,26,27,28,29,30,31,35,42	b		
([ab]{9,15}){2,42}	2	9	1	0,16,17,18,19,20,24,30,37	a		
([ab]{8,12}){7,33}	7	8	1	0,54,55,56,57,58,70,84,91	b		
(a{4,5}){1,41}	1	4	1	0,2,3,4,5,6,12	a		
([ab]{5,13}){12,39}	12	5	1	0,58,59,60,61,62,80,100,107	a		
([ab]{2,3}){6,41}	6	2	1	0,10,11,12,13,14,15,18,25	b		
(a{3,11}){8,36}	8	3	1	0,22,23,24,25,26,56,88,95	a		
((?:ab){0,5}){7,8}	7	0	2	0,1,2,3,35,70,77	ab		
((?:abc){3,3}){3,31}	3	3	3	0,25,26,27,28,29,30,31,32,34	abc	zz	
((?:abc){1,7}){12,29}	12	1	3	0,34,35,36,37,38,39,40,41,144,252,259	abc	z	
([ab]{8,16}){5,21}	5	8	1	0,38,39,40,41,42,60,80,87	a		
(a{3,3}){8,32}	8	3	1	0,22,23,24,25,26,31	a		
((?:ab){4,9}){3,27}	3	4	2	0,22,23,24,25,26,27,39,54,61	ab		
((?:ab){2,10}){6,13}	6	2	2	0,22,23,24,25,26,27,72,120,127	ab	z	
(a{4,11}){1,3}	1	4	1	0,2,3,4,5,6,7,11,18	a		
((?:ab){12,13}){4,40}	4	12	2	0,94,95,96,97,98,99,100,104,111	ab	z	
(a{6,7}){5,17}	5	6	1	0,28,29,30,31,32,35,42	a		
((?:ab){4,5}){10,48}	10	4	2	0,78,79,80,81,82,83,90,100,107	ab		
(a{1,3}){1,9}	1	1	1	0,1,2,3,10	a		
(a{0,1}){6,7}	6	0	1	0,1,2,3,6,13	a		
([ab]{5,6}){3,16}	3	5	1	0,13,14,15,16,17,18,25	a		
([ab]{6,11}){10,24}	10	6	1	0,58,59,60,61,62,80,100,107	b		
((?:ab){7,9}){6,30}	6	7	2	0,82,83,84,85,86,87,96,108,115	ab	z	
(a{7,13}){6,19}	6	7	1	0,40,41,42,43,44,60,78,85	a		
([ab]{3,8}){7,34}	7	3	1	0,19,20,21,22,23,38,56,63	a		
(a{0,5}){12,39}	12	0	1	0,1,2,30,60,67	a		
((?:[ab][cd]){2,8}){6,21}	6	2	2	0,22,23,24,25,26,27,60,96,103	ac	z	
((?:abc){5,12}){1,35}	1	5	3	0,13,14,15,16,17,18,19,20,25,36,43	abc	zz	
((?:abc){1,8}){1,26}	1	1	3	0,1,2,3,4,5,6,7,8,13,24,31	abc	zz	
((?:abc){4,4}){12,14}	12	4	3	0,142,143,144,145,146,147,148,149,151	abc	z	
((?:abc){5,9}){12,22}	12	5	3	0,178,179,180,181,182,183,184,185,240,300,307	abc		
(a{1,7}){8,17}	8	1	1	0,6,7,8,9,10,32,56,63	a		
((?:ab){1,1}){9,47}	9	1	2	0,16,17,18,19,20,21,25	ab		
([ab]{5,9}){5,23}	5	5	1	0,23,24,25,26,27,35,45,52	b		
((?:ab){11,11}){4,40}	4	11	2	0,86,87,88,89,90,91,95	ab		
((?:ab){4,5}){10,15}	10	4	2	0,78,79,80,81,82,83,90,100,107	ab		
((?:ab){4,12}){10,36}	10	4	2	0,78,79,80,81,82,83,140,200,207	ab		
([ab]{3,10}){1,10}	1	3	1	0,1,2,3,4,5,6,10,17	a		
((?:ab){0,6}){1,37}	1	0	2	0,1,2,3,6,12,19	ab	z	
(a{10,10}){3,12}	3	10	1	0,28,29,30,31,32,37	a		
(a{5,13}){9,35}	9	5	1	0,43,44,45,46,47,72,100,107	a		
(a{7,8}){8,28}	8	7	1	0,54,55,56,57,58,60,64,71	a		
((?:ab){10,10}){3,16}	3	10	2	0,58,59,60,61,62,63,67	ab	z	
(a{2,4}){3,40}	3	2	1	0,4,5,6,7,8,9,12,19	a		
([ab]{1,5}){11,49}	11	1	1	0,9,10,11,12,13,33,55,62	b		
(a{9,11}){2,34}	2	9	1	0,16,17,18,19,20,22,29	a		
((?:abc){5,6}){4,36}	4	5	3	0,58,59,60,61,62,63,64,65,66,72,79	abc	z	
([ab]{5,11}){8,21}	8	5	1	0,38,39,40,41,42,64,88,95	a		
([ab]{8,16}){4,25}	4	8	1	0,30,31,32,33,34,48,64,71	a		
(a{9,10}){3,12}	3	9	1	0,25,26,27,28,29,30,37	a		
(a{7,7}){3,19}	3	7	1	0,19,20,21,22,23,28	a		
((?:ab){1,7}){8,14}	8	1	2	0,14,15,16,17,18,19,64,112,119	ab	z	
