id	len	description
000	16	valid dot-atom simple
001	21	valid dot-atom multi-label domain
002	6	valid dot-atom single-char local
003	23	valid dot-atom many dots
004	33	valid dot-atom with allowed specials
005	6	valid dot-atom two-label domain minimal
006	15	valid dot-atom single-char labels chained
007	25	valid dot-atom local with digits
008	19	valid dot-atom label with internal hyphen
009	14	valid dot-atom label with internal hyphens
010	14	valid dot-atom TLD single char label
011	22	valid quoted simple
012	18	valid quoted with escaped quote
013	18	valid quoted with escaped backslash
014	14	valid quoted empty
015	17	valid quoted with control char 0x01
016	17	valid quoted with tab 0x09 (in qchar range)
017	18	valid quoted with escaped 0x00-adjacent \x09
018	17	valid quoted with 0x7f (DEL, in qchar range)
019	18	valid quoted with escaped high byte \xff
020	20	valid quoted with many escaped quotes
021	14	valid IPv4 literal all-zero
022	22	valid IPv4 literal max
023	18	valid IPv4 literal typical
024	14	valid IPv4 literal single-digit octets
025	18	valid IPv4 literal two-digit octets
026	22	valid IPv4 literal boundary 250-255
027	22	valid IPv4 literal 199 (2xx form)
028	14	valid bracket general form ascii tag
029	28	valid bracket general form IPv6-ish tag
030	14	valid bracket general form single-char tag
031	19	valid bracket general form with hyphen in tag
032	16	invalid IPv4 octet 256
033	16	invalid IPv4 octet 999
034	12	invalid IPv4 too few octets
035	16	invalid IPv4 too many octets
036	17	invalid label leading hyphen
037	13	invalid label leading hyphen second label
038	17	invalid label trailing hyphen
039	17	invalid unescaped quote inside quoted string
040	15	invalid missing @ entirely
041	12	invalid empty local part
042	5	invalid empty domain
043	22	invalid double dot in local part
044	17	invalid leading dot in local part
045	17	invalid trailing dot in local part
046	12	invalid domain single label no dot
047	13	invalid bracket unclosed
048	7	invalid bracket empty
049	21	invalid space in local part unquoted
050	17	invalid at-sign in domain
051	21	invalid control char 0x00 unquoted
052	12	bracket general form: byte 0x20 (excluded from both classes)
053	10	bracket general form: byte 0x52 'R' (excluded from [\x21-\x5a\x53-\x7f])
054	10	bracket general form: byte 0x53 'S' (included, class boundary)
055	10	bracket general form: byte 0x5a 'Z' (included, class boundary)
056	10	bracket general form: byte 0x21 '!' (included, class boundary)
057	10252	pathological: 10KB local part of atom chars
058	4011	pathological: 2000-deep dotted local part a.a.a...
059	5134	pathological: 5KB quoted string of qchars
060	10240	pathological: 10KB local part, no @ (forces full scan, nomatch)
061	2008	pathological: long domain, many labels
062	513	pathological: long IPv4-literal-shaped garbage
063	5135	pathological: 5KB quoted string with trailing unescaped quote mid-string
064	4110	pathological: alternating escaped chars in quoted string, 4KB
065	16	valid: mixed-case local+domain (pattern is lowercase-only class -> likely no match)
066	17	valid: uppercase inside quoted string (qchar allows 0x41-0x5a via 0x23-0x5b)
067	16	valid: digits-only domain labels
068	5	valid: single-char everything
069	17	invalid: two @ signs
070	13	invalid: local part exactly one specials-only char
071	30	valid: local part all specials
072	25	invalid: quoted string missing closing quote
073	13	invalid: bracket form missing tag colon
074	17	valid: bracket general form tag with digits
075	16	boundary: IPv4 last octet 25x boundary (250)
076	16	boundary: IPv4 last octet exactly 255
077	16	boundary: IPv4 octet exactly 199
078	16	boundary: IPv4 octet 200 (2[0-4][0-9] branch)
079	16	boundary: IPv4 octet 249 (2[0-4][0-9] branch top)
080	16	boundary: IPv4 octet 260 invalid (exceeds all branches)
081	0	empty subject
082	1	just @ sign
083	43	no match: random prose
084	10	no match: digits only
