pattern	algo	construct_ns	table_bytes	distinct_keys_or_fanout
pfx3-256	firstbyte	97480.0	4096	-
pfx3-256	trie	292062.0	118424	26
pfx3-256	hash2	149651.0	99368	1
pfx3-256	hash4	290451.0	394632	26
pfx3-256	vm	0.0	0	shares-trie-c
srt-2048	firstbyte	782104.0	11264	-
srt-2048	trie	2609564.0	1152408	26
srt-2048	hash2	1496298.0	798840	645
srt-2048	hash4	2783025.0	1604336	1884
srt-2048	vm	0.0	0	shares-trie-c
sh1-64	firstbyte	24850.0	3328	-
sh1-64	trie	72710.0	36440	24
sh1-64	hash2	26960.0	25032	24
sh1-64	hash4	48231.0	50208	63
sh1-64	vm	0.0	0	shares-trie-c
sh1-512	firstbyte	191461.0	5120	-
sh1-512	trie	447902.0	286968	26
sh1-512	hash2	212971.0	199656	26
sh1-512	hash4	393902.0	401248	495
sh1-512	vm	0.0	0	shares-trie-c
sh1-256	firstbyte	96930.0	4096	-
sh1-256	trie	227831.0	147608	26
sh1-256	hash2	106481.0	99752	26
sh1-256	hash4	186711.0	200680	249
sh1-256	vm	0.0	0	shares-trie-c
pfx3-512	firstbyte	194711.0	5120	-
pfx3-512	trie	402522.0	232248	26
pfx3-512	hash2	196692.0	198696	1
pfx3-512	hash4	407672.0	789352	26
pfx3-512	vm	0.0	0	shares-trie-c
s-4096	firstbyte	1555839.0	19456	-
s-4096	trie	2720154.0	1203320	26
s-4096	hash2	2310502.0	1595064	673
s-4096	hash4	5802351.0	3210088	3948
s-4096	vm	0.0	0	shares-trie-c
w-192	firstbyte	73140.0	3840	-
w-192	trie	180031.0	115000	25
w-192	hash2	87061.0	51928	171
w-192	hash4	137670.0	199552	171
w-192	vm	0.0	0	shares-trie-c
cnt-64	firstbyte	25180.0	3328	-
cnt-64	trie	67701.0	39992	24
cnt-64	hash2	27320.0	25560	59
cnt-64	hash4	42620.0	50152	56
cnt-64	vm	0.0	0	shares-trie-c
srt-512	firstbyte	193392.0	5120	-
srt-512	trie	455062.0	301464	26
srt-512	hash2	211271.0	202600	372
srt-512	hash4	359943.0	400992	455
srt-512	vm	0.0	0	shares-trie-c
srt-256	firstbyte	96900.0	4096	-
srt-256	trie	231222.0	152312	26
srt-256	hash2	106610.0	101864	220
srt-256	hash4	176952.0	200512	227
srt-256	vm	0.0	0	shares-trie-c
s-2048	firstbyte	778705.0	11264	-
s-2048	trie	1314148.0	638616	26
s-2048	hash2	861335.0	798888	637
s-2048	hash4	1768101.0	1604936	1956
