pattern	subject	algo	positions	mismatches
pfx3-256	f-cnt2	firstbyte	16	0
pfx3-256	f-cnt2	trie	16	0
pfx3-256	f-cnt2	hash2	16	0
pfx3-256	f-cnt2	hash4	16	0
pfx3-256	f-cnt2	vm	16	0
pfx3-256	f-nar4	firstbyte	9	0
pfx3-256	f-nar4	trie	9	0
pfx3-256	f-nar4	hash2	9	0
pfx3-256	f-nar4	hash4	9	0
pfx3-256	f-nar4	vm	9	0
pfx3-256	f-w0	firstbyte	12	0
pfx3-256	f-w0	trie	12	0
pfx3-256	f-w0	hash2	12	0
pfx3-256	f-w0	hash4	12	0
pfx3-256	f-w0	vm	12	0
pfx3-256	f-s4095	firstbyte	4	0
pfx3-256	f-s4095	trie	4	0
pfx3-256	f-s4095	hash2	4	0
pfx3-256	f-s4095	hash4	4	0
pfx3-256	f-s4095	vm	4	0
pfx3-256	f-s0	firstbyte	4	0
pfx3-256	f-s0	trie	4	0
pfx3-256	f-s0	hash2	4	0
pfx3-256	f-s0	hash4	4	0
pfx3-256	f-s0	vm	4	0
pfx3-256	t-128k-clean	firstbyte	131072	0
pfx3-256	t-128k-clean	trie	131072	0
pfx3-256	t-128k-clean	hash2	131072	0
pfx3-256	t-128k-clean	hash4	131072	0
pfx3-256	t-128k-clean	vm	131072	0
pfx3-256	f-w511	firstbyte	6	0
pfx3-256	f-w511	trie	6	0
pfx3-256	f-w511	hash2	6	0
pfx3-256	f-w511	hash4	6	0
pfx3-256	f-w511	vm	6	0
pfx3-256	f-prefix	firstbyte	11	0
pfx3-256	f-prefix	trie	11	0
pfx3-256	f-prefix	hash2	11	0
pfx3-256	f-prefix	hash4	11	0
pfx3-256	f-prefix	vm	11	0
pfx3-256	f-w2047	firstbyte	8	0
pfx3-256	f-w2047	trie	8	0
pfx3-256	f-w2047	hash2	8	0
pfx3-256	f-w2047	hash4	8	0
pfx3-256	f-w2047	vm	8	0
pfx3-256	f-w7	firstbyte	4	0
pfx3-256	f-w7	trie	4	0
pfx3-256	f-w7	hash2	4	0
pfx3-256	f-w7	hash4	4	0
pfx3-256	f-w7	vm	4	0
