pattern	subject	algo	rounds	median_ns	ns_per_byte	ns_per_call	load1
pfx3-256	f-cnt2	serial	11	11750.0	734.3750	734.3750	1.09
pfx3-256	f-cnt2	firstbyte	11	200.0	12.5000	12.5000	1.09
pfx3-256	f-cnt2	trie	11	220.0	13.7500	13.7500	1.09
pfx3-256	f-cnt2	hash2	11	280.0	17.5000	17.5000	1.09
pfx3-256	f-cnt2	hash4	11	280.0	17.5000	17.5000	1.09
pfx3-256	f-cnt2	vm	11	220.0	13.7500	13.7500	1.09
pfx3-256	f-nar4	serial	11	6540.0	726.6667	726.6667	1.09
pfx3-256	f-nar4	firstbyte	11	120.0	13.3333	13.3333	1.09
pfx3-256	f-nar4	trie	11	140.0	15.5556	15.5556	1.09
pfx3-256	f-nar4	hash2	11	170.0	18.8889	18.8889	1.09
pfx3-256	f-nar4	hash4	11	160.0	17.7778	17.7778	1.09
pfx3-256	f-nar4	vm	11	130.0	14.4444	14.4444	1.09
pfx3-256	f-w0	serial	11	8790.0	732.5000	732.5000	1.09
pfx3-256	f-w0	firstbyte	11	150.0	12.5000	12.5000	1.09
pfx3-256	f-w0	trie	11	180.0	15.0000	15.0000	1.09
pfx3-256	f-w0	hash2	11	220.0	18.3333	18.3333	1.09
pfx3-256	f-w0	hash4	11	210.0	17.5000	17.5000	1.09
pfx3-256	f-w0	vm	11	170.0	14.1667	14.1667	1.09
pfx3-256	f-s4095	serial	11	2760.0	690.0000	690.0000	1.09
pfx3-256	f-s4095	firstbyte	11	80.0	20.0000	20.0000	1.09
pfx3-256	f-s4095	trie	11	80.0	20.0000	20.0000	1.09
pfx3-256	f-s4095	hash2	11	90.0	22.5000	22.5000	1.09
pfx3-256	f-s4095	hash4	11	80.0	20.0000	20.0000	1.09
pfx3-256	f-s4095	vm	11	80.0	20.0000	20.0000	1.09
pfx3-256	f-s0	serial	11	2760.0	690.0000	690.0000	1.09
pfx3-256	f-s0	firstbyte	11	70.0	17.5000	17.5000	1.09
pfx3-256	f-s0	trie	11	80.0	20.0000	20.0000	1.09
pfx3-256	f-s0	hash2	11	90.0	22.5000	22.5000	1.09
pfx3-256	f-s0	hash4	11	80.0	20.0000	20.0000	1.09
pfx3-256	f-s0	vm	11	80.0	20.0000	20.0000	1.09
pfx3-256	t-128k-clean	serial	11	86965662.0	663.4953	663.4953	1.09
pfx3-256	t-128k-clean	firstbyte	11	5211468.0	39.7603	39.7603	1.09
pfx3-256	t-128k-clean	trie	11	1592519.0	12.1500	12.1500	1.09
pfx3-256	t-128k-clean	hash2	11	2234492.0	17.0478	17.0478	1.09
pfx3-256	t-128k-clean	hash4	11	2343442.0	17.8790	17.8790	1.09
pfx3-256	t-128k-clean	vm	11	1517778.0	11.5797	11.5797	1.09
pfx3-256	f-w511	serial	11	4530.0	755.0000	755.0000	1.09
pfx3-256	f-w511	firstbyte	11	1090.0	181.6667	181.6667	1.09
pfx3-256	f-w511	trie	11	110.0	18.3333	18.3333	1.09
pfx3-256	f-w511	hash2	11	120.0	20.0000	20.0000	1.09
pfx3-256	f-w511	hash4	11	110.0	18.3333	18.3333	1.09
pfx3-256	f-w511	vm	11	100.0	16.6667	16.6667	1.09
pfx3-256	f-prefix	serial	11	8120.0	738.1818	738.1818	1.09
pfx3-256	f-prefix	firstbyte	11	140.0	12.7273	12.7273	1.09
pfx3-256	f-prefix	trie	11	160.0	14.5455	14.5455	1.09
pfx3-256	f-prefix	hash2	11	200.0	18.1818	18.1818	1.09
pfx3-256	f-prefix	hash4	11	190.0	17.2727	17.2727	1.09
pfx3-256	f-prefix	vm	11	160.0	14.5455	14.5455	1.09
pfx3-256	f-w2047	serial	11	5760.0	720.0000	720.0000	1.09
pfx3-256	f-w2047	firstbyte	11	110.0	13.7500	13.7500	1.09
pfx3-256	f-w2047	trie	11	130.0	16.2500	16.2500	1.09
pfx3-256	f-w2047	hash2	11	150.0	18.7500	18.7500	1.09
pfx3-256	f-w2047	hash4	11	140.0	17.5000	17.5000	1.09
pfx3-256	f-w2047	vm	11	120.0	15.0000	15.0000	1.09
pfx3-256	f-w7	serial	11	2960.0	740.0000	740.0000	1.09
pfx3-256	f-w7	firstbyte	11	1070.0	267.5000	267.5000	1.09
pfx3-256	f-w7	trie	11	80.0	20.0000	20.0000	1.09
pfx3-256	f-w7	hash2	11	90.0	22.5000	22.5000	1.09
pfx3-256	f-w7	hash4	11	80.0	20.0000	20.0000	1.09
pfx3-256	f-w7	vm	11	80.0	20.0000	20.0000	1.09
pfx3-256	t-512k-sparse	serial	11	350323858.0	668.1897	668.1897	1.16
pfx3-256	t-512k-sparse	firstbyte	11	21326593.0	40.6772	40.6772	1.16
pfx3-256	t-512k-sparse	trie	11	6393804.0	12.1952	12.1952	1.16
pfx3-256	t-512k-sparse	hash2	11	8991828.0	17.1506	17.1506	1.16
pfx3-256	t-512k-sparse	hash4	11	9368539.0	17.8691	17.8691	1.16
pfx3-256	t-512k-sparse	vm	11	6074732.0	11.5866	11.5866	1.16
pfx3-256	t-128k-dense	serial	11	87041072.0	664.0707	664.0707	1.16
pfx3-256	t-128k-dense	firstbyte	11	5347629.0	40.7992	40.7992	1.16
pfx3-256	t-128k-dense	trie	11	1597029.0	12.1844	12.1844	1.16
pfx3-256	t-128k-dense	hash2	11	2242462.0	17.1086	17.1086	1.16
pfx3-256	t-128k-dense	hash4	11	2346103.0	17.8993	17.8993	1.16
pfx3-256	t-128k-dense	vm	11	1520638.0	11.6015	11.6015	1.16
pfx3-256	f-sh1	serial	11	3450.0	690.0000	690.0000	1.16
pfx3-256	f-sh1	firstbyte	11	80.0	16.0000	16.0000	1.16
pfx3-256	f-sh1	trie	11	90.0	18.0000	18.0000	1.16
pfx3-256	f-sh1	hash2	11	110.0	22.0000	22.0000	1.16
pfx3-256	f-sh1	hash4	11	100.0	20.0000	20.0000	1.16
pfx3-256	f-sh1	vm	11	90.0	18.0000	18.0000	1.16
pfx3-256	f-glued	serial	11	12740.0	707.7778	707.7778	1.16
pfx3-256	f-glued	firstbyte	11	220.0	12.2222	12.2222	1.16
pfx3-256	f-glued	trie	11	250.0	13.8889	13.8889	1.16
pfx3-256	f-glued	hash2	11	310.0	17.2222	17.2222	1.16
pfx3-256	f-glued	hash4	11	310.0	17.2222	17.2222	1.16
pfx3-256	f-glued	vm	11	240.0	13.3333	13.3333	1.16
pfx3-256	f-w255	serial	11	5000.0	714.2857	714.2857	1.16
pfx3-256	f-w255	firstbyte	11	100.0	14.2857	14.2857	1.16
pfx3-256	f-w255	trie	11	120.0	17.1429	17.1429	1.16
pfx3-256	f-w255	hash2	11	140.0	20.0000	20.0000	1.16
pfx3-256	f-w255	hash4	11	130.0	18.5714	18.5714	1.16
pfx3-256	f-w255	vm	11	110.0	15.7143	15.7143	1.16
pfx3-256	f-pfx3	serial	11	5230.0	653.7500	653.7500	1.16
pfx3-256	f-pfx3	firstbyte	11	1130.0	141.2500	141.2500	1.16
pfx3-256	f-pfx3	trie	11	150.0	18.7500	18.7500	1.16
pfx3-256	f-pfx3	hash2	11	170.0	21.2500	21.2500	1.16
pfx3-256	f-pfx3	hash4	11	160.0	20.0000	20.0000	1.16
pfx3-256	f-pfx3	vm	11	140.0	17.5000	17.5000	1.16
pfx3-256	t-128k-sparse	serial	11	87075772.0	664.3354	664.3354	1.16
pfx3-256	t-128k-sparse	firstbyte	11	5269248.0	40.2012	40.2012	1.16
pfx3-256	t-128k-sparse	trie	11	1592788.0	12.1520	12.1520	1.16
pfx3-256	t-128k-sparse	hash2	11	2231212.0	17.0228	17.0228	1.16
pfx3-256	t-128k-sparse	hash4	11	2338992.0	17.8451	17.8451	1.16
pfx3-256	t-128k-sparse	vm	11	1517818.0	11.5800	11.5800	1.16
