cell	prog_bytes	rung	text_bytes	calls	hits	ns_med	ns_min	ns_max	load1	cksum
w-8	8558	plain	2950	129	128	10204.7132	10164.7907	10467.5116	0.49	2323316271646811427
w-8	8558	shared	2670	129	128	10231.4651	10167.2713	35785.5736	0.49	2323316271646811427
w-8	8558	forward	3878	129	128	6982.9845	6891.9845	8879.7442	0.49	2323316271646811427
w-8	8558	inline	7318	129	128	6948.2558	6893.4574	8744.7054	0.49	2323316271646811427
w-64	79451	plain	18320	129	128	15168.4651	15058.5426	37530.3876	0.53	2323316271646811427
w-64	79451	shared	18036	129	128	15093.1163	15066.4496	15391.6434	0.53	2323316271646811427
w-64	79451	forward	35444	129	128	11078.0543	10971.2326	11355.0310	0.53	2323316271646811427
w-64	79451	inline	69516	129	128	11017.2791	10970.3798	11440.5426	0.53	2323316271646811427
w-256	305686	plain	47783	193	192	12035.1554	11976.3420	30482.1554	0.81	12598790390517884803
w-256	305686	shared	47515	193	192	11999.5544	11712.5596	12346.9689	0.81	12598790390517884803
w-256	305686	forward	149787	193	192	9853.5285	9789.0259	10093.4301	0.81	12598790390517884803
w-256	305686	inline	296643	193	192	10069.2332	9680.7876	10341.5181	0.81	12598790390517884803
dig-upto-16	646	plain	1822	3722	3721	340.9344	186.3713	399.4465	0.43	16426137637840195344
dig-upto-16	646	shared	1518	3722	3721	197.0433	195.3829	418.8208	0.43	16426137637840195344
dig-upto-16	646	forward	934	3722	3721	98.2703	98.0822	184.6601	0.43	16426137637840195344
dig-upto-16	646	inline	1534	3722	3721	96.7066	96.4409	198.9804	0.43	16426137637840195344
wp-4	5183	plain	2568	65	64	8903.9077	8842.9846	22686.4615	0.48	1655722294943394661
wp-4	5183	shared	2280	65	64	8901.2923	7902.2000	22435.6769	0.48	1655722294943394661
wp-4	5183	forward	2568	65	64	4592.0308	4588.0308	5200.4923	0.48	1655722294943394661
wp-4	5183	inline	4680	65	64	4592.6462	4587.1077	6606.8154	0.48	1655722294943394661
wp-6	6954	plain	2900	65	64	16171.3385	16071.0308	40827.5077	0.48	1655722294943394661
wp-6	6954	shared	2612	65	64	16168.5692	15782.7231	16490.8923	0.48	1655722294943394661
wp-6	6954	forward	3052	65	64	9489.1385	9355.6000	9908.9846	0.48	1655722294943394661
wp-6	6954	inline	5748	65	64	9489.7538	9374.5231	9934.6923	0.48	1655722294943394661
lower-0-8	645	plain	1824	47704	47704	16.8146	16.1943	42.7640	0.48	453049262445150901
lower-0-8	645	shared	1520	47704	47704	16.4566	16.3172	17.4660	0.48	453049262445150901
lower-0-8	645	forward	968	47704	47704	10.9897	10.6422	11.9465	0.48	453049262445150901
lower-0-8	645	inline	1600	47704	47704	10.2407	10.1028	10.6908	0.48	453049262445150901
hex32	695	plain	1898	1	0	903386.0000	823825.0000	946786.0000	0.52	1469598103934665603
hex32	695	shared	1594	1	0	871376.0000	863325.0000	970897.0000	0.52	1469598103934665603
hex32	695	forward	1002	1	0	593754.0000	559804.0000	628134.0000	0.52	1469598103934665603
hex32	695	inline	1602	1	0	577854.0000	558893.0000	640825.0000	0.52	1469598103934665603
year4	818	plain	1938	160	159	3263.4625	3228.7688	7040.2375	0.46	13141485392890602019
year4	818	shared	1634	160	159	2980.1438	2950.0813	3189.4625	0.46	13141485392890602019
year4	818	forward	1066	160	159	1132.2562	1127.1312	1427.3187	0.46	13141485392890602019
year4	818	inline	1826	160	159	1130.0062	1125.4437	1516.3187	0.46	13141485392890602019
lit16	2618	plain	1294	1	0	783945.0000	313663.0000	836796.0000	0.46	1469598103934665603
lit16	2618	shared	1078	1	0	350852.0000	350482.0000	953466.0000	0.46	1469598103934665603
lit16	2618	forward	1542	1	0	151621.0000	151281.0000	417973.0000	0.46	1469598103934665603
lit16	2618	inline	2710	1	0	151461.0000	151241.0000	388332.0000	0.46	1469598103934665603
ipv4	5009	plain	3467	1	0	2034073.0000	919146.0000	2485307.0000	0.50	1469598103934665603
ipv4	5009	shared	3467	1	0	945837.0000	920226.0000	2395936.0000	0.50	1469598103934665603
ipv4	5009	forward	3467	1	0	991777.0000	923726.0000	2429076.0000	0.50	1469598103934665603
ipv4	5009	inline	3467	1	0	946986.0000	921736.0000	2409726.0000	0.50	1469598103934665603
wp-2	3222	plain	2243	65	64	7228.6615	7157.5846	18431.3538	0.36	1655722294943394661
wp-2	3222	shared	1939	65	64	7244.2000	7158.2000	7934.6615	0.36	1655722294943394661
wp-2	3222	forward	1723	65	64	2834.1692	2829.7077	3033.7077	0.36	1655722294943394661
wp-2	3222	inline	3051	65	64	2832.1846	2826.4923	3172.1692	0.36	1655722294943394661
wp-3	4024	plain	2352	65	64	8925.2923	8835.8923	23129.3846	0.36	1655722294943394661
wp-3	4024	shared	2064	65	64	8937.1385	8839.6000	23035.6923	0.36	1655722294943394661
wp-3	4024	forward	2016	65	64	3265.2462	3255.2462	3683.4154	0.36	1655722294943394661
wp-3	4024	inline	3664	65	64	3271.7077	3246.9538	3663.2615	0.36	1655722294943394661
wp-5	5985	plain	2685	65	64	15521.0308	14649.8000	16198.4154	0.41	1655722294943394661
wp-5	5985	shared	2397	65	64	15541.6462	15517.0308	38097.0154	0.41	1655722294943394661
wp-5	5985	forward	2717	65	64	10266.6923	10171.4462	24075.2462	0.41	1655722294943394661
wp-5	5985	inline	5093	65	64	10268.2308	10163.1385	10957.6154	0.41	1655722294943394661
wp-12	12514	plain	3521	129	128	10990.6977	10719.4574	11288.8372	0.41	2323316271646811427
