# cc=gcc rounds=11 load1_at_start=0.10 date=2026-09-11T15:29:14
set	regime	arm	round	ns_per_char	hits	chk
L	member	refbs	0	19.9291	1048576	549756338176
L	member	bitmap1	0	1.6144	1048576	549756338176
L	member	lam0	0	10.1717	1048576	549756338176
L	member	lam16	0	11.3648	1048576	549756338176
L	member	lam256	0	9.9202	1048576	549756338176
L	member	refbs	1	20.1349	1048576	549756338176
L	member	bitmap1	1	1.6080	1048576	549756338176
L	member	lam0	1	10.1959	1048576	549756338176
L	member	lam16	1	11.3433	1048576	549756338176
L	member	lam256	1	9.9231	1048576	549756338176
L	member	refbs	2	20.1187	1048576	549756338176
L	member	bitmap1	2	1.6130	1048576	549756338176
L	member	lam0	2	10.4982	1048576	549756338176
L	member	lam16	2	11.4246	1048576	549756338176
L	member	lam256	2	10.0748	1048576	549756338176
L	member	refbs	3	20.0241	1048576	549756338176
L	member	bitmap1	3	1.6132	1048576	549756338176
L	member	lam0	3	10.1675	1048576	549756338176
L	member	lam16	3	11.3818	1048576	549756338176
L	member	lam256	3	10.2875	1048576	549756338176
L	member	refbs	4	19.8898	1048576	549756338176
L	member	bitmap1	4	1.6065	1048576	549756338176
L	member	lam0	4	10.1001	1048576	549756338176
L	member	lam16	4	11.4099	1048576	549756338176
L	member	lam256	4	10.2405	1048576	549756338176
L	member	refbs	5	20.1991	1048576	549756338176
L	member	bitmap1	5	1.6157	1048576	549756338176
L	member	lam0	5	10.1181	1048576	549756338176
L	member	lam16	5	11.4220	1048576	549756338176
L	member	lam256	5	10.2302	1048576	549756338176
L	member	refbs	6	20.1106	1048576	549756338176
L	member	bitmap1	6	1.6113	1048576	549756338176
L	member	lam0	6	10.1908	1048576	549756338176
L	member	lam16	6	11.4400	1048576	549756338176
L	member	lam256	6	10.2421	1048576	549756338176
L	member	refbs	7	20.2203	1048576	549756338176
L	member	bitmap1	7	2.6591	1048576	549756338176
L	member	lam0	7	10.1469	1048576	549756338176
L	member	lam16	7	11.4177	1048576	549756338176
L	member	lam256	7	10.2448	1048576	549756338176
L	member	refbs	8	20.0824	1048576	549756338176
L	member	bitmap1	8	1.6106	1048576	549756338176
L	member	lam0	8	10.1772	1048576	549756338176
L	member	lam16	8	11.4395	1048576	549756338176
L	member	lam256	8	10.2228	1048576	549756338176
L	member	refbs	9	20.0001	1048576	549756338176
L	member	bitmap1	9	1.6107	1048576	549756338176
L	member	lam0	9	10.1925	1048576	549756338176
L	member	lam16	9	11.4421	1048576	549756338176
L	member	lam256	9	10.2341	1048576	549756338176
L	member	refbs	10	20.0391	1048576	549756338176
L	member	bitmap1	10	1.6060	1048576	549756338176
L	member	lam0	10	10.1748	1048576	549756338176
L	member	lam16	10	11.4643	1048576	549756338176
L	member	lam256	10	10.2353	1048576	549756338176
L	mixed	refbs	0	17.6820	590753	309870339539
L	mixed	bitmap1	0	4.9793	590753	309870339539
L	mixed	lam0	0	10.3356	590753	309870339539
L	mixed	lam16	0	11.3702	590753	309870339539
L	mixed	lam256	0	9.8383	590753	309870339539
L	mixed	refbs	1	17.6519	590753	309870339539
L	mixed	bitmap1	1	4.9778	590753	309870339539
L	mixed	lam0	1	10.3346	590753	309870339539
L	mixed	lam16	1	11.2061	590753	309870339539
