# byte-class population: 3481 corpus pattern blocks, 3452 compiled, 41 DISTINCT sets  date=2026-09-11T09:04:25
# bits(256, hex, LSB=byte 0)	label	sites	file	pattern
0000000000000000000000000000000007fffffe87fffffe03ff000000000000	bc000	70	tests/captures/classes_trie_bounded.rxt	(\w+)\s(\w+)
fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffbff	bc001	32	tests/utf8/axis08_lookbehind_varwidth.rxt	(?<=.)x
fffffffffffffffffffffffffffffffffffffffdffffffffffffffffffffffff	bc002	30	tests/lookaround/lookbehind.rxt	(?<=[^a])b
0000000000000000000000000000000007fffffe07fffffe0000000000000000	bc003	18	tests/captures/classes_trie_bounded.rxt	([a-z]+)
fffffffffffffffffffffffffffffffffffffffffffffffffc00ffffffffffff	bc004	15	tests/captures/classes_trie_bounded.rxt	([^0-9]+)
fffffffffffffffffffffffffffffffffffffff7ffffffffffffffffffffffff	bc005	14	tests/assertions/absolute.rxt	[^c]{1,3}\z
fffffffffffffffffffffffffffffffffffffff1ffffffffffffffffffffffff	bc006	12	tests/base/d27_bodies.rxt	[^abc]{2,4}
fffffffffffffffffffffffffffffffff8000001f8000001ffffffffffffffff	bc007	9	tests/classes/classes.rxt	[[:^alpha:]]+
00000007ffffffffffffffff0000000400000000000000000000000000000000	bc008	6	tests/utf8/axis01_encoded_length.rxt	[₠-€]+
0000000000000004000000000000000180000000000000000000000000000000	bc009	6	tests/utf8/axis02_class_boundary.rxt	[]+
0000000000004000000200000000000000000002000000000000000000000000	bc010	6	tests/utf8/axis02_class_boundary.rxt	[aα]+
0000000000000000000000000000000000080000000800000000000000000000	bc011	6	tests/utf8/axis07_caseless_1ton.rxt	SS
00000000000000000000000000000000000000000000000003ff200000000000	bc012	6	tests/classes/classes.rxt	[\d-]+
000000000000000000000000000000000000007e0000007e03ff000000000000	bc013	6	tests/classes/classes.rxt	[[:xdigit:]]+
0000000000000000000000000000000007fffffe07fffffe03ff000000000000	bc014	6	tests/classes/classes.rxt	[[:alpha:][:digit:]]+
000000000000000000000000000000000000007e0000000003ff000000000000	bc015	6	tests/offsetskip/offset_skip.rxt	\b[0-9a-f]{8}-[0-9a-f]{4}
0000000000000000000000000000000000000000000000000000000100003e00	bc016	4	tests/captures/classes_trie_bounded.rxt	(\w+)\s(\w+)
0000000000000000000000000000000000000002000000020000000000000000	bc017	4	tests/modifiers/scope.rxt	(?i)a*
000000000000000000000000000000000000000a000000000000000000000000	bc018	4	tests/base/cls_fold.rxt	([ac])x
0000000000000000000000000000000000000006000000060000000000000000	bc019	3	tests/captures/structure_anchors_misc.rxt	(a|B)+
fffffffffffffffffffffffffffffffffffffffffffffffffffffffeffffc1ff	bc020	3	tests/classes/classes.rxt	\S+
00000000000000000000000000000000000000020000000003ff000000000000	bc021	3	tests/classes/classes.rxt	[a\d]+
00000000000000000000000000000000010000000000000003ff000000000000	bc022	3	tests/classes/classes.rxt	(\d|x)+
000000000000000000000000000000000000000e0000000e03ff000000000000	bc023	3	tests/classes/classes.rxt	[\da-c]+
0000000000000000000000010000000000000000000000000000000100000200	bc024	3	tests/classes/classes.rxt	\h+
fffffffffffffffffffffffefffffffffffffffffffffffffffffffefffffdff	bc025	3	tests/classes/classes.rxt	\H+
0000000000000000000000000000002000000000000000000000000000003c00	bc026	3	tests/classes/classes.rxt	\v+
ffffffffffffffffffffffffffffffdfffffffffffffffffffffffffffffc3ff	bc027	3	tests/classes/classes.rxt	\V+
00000000000000000000000100000000000000000000000003ff000100000200	bc028	3	tests/classes/classes.rxt	[\h\d]+
00000000000000000000000000000000030000000000000003ff000000000000	bc029	3	tests/classes/classes.rxt	[x[:digit:]y]+
00000000000000000000000000000000800000000000000000000000ffffffff	bc030	3	tests/classes/classes.rxt	[[:cntrl:]]+
0000000000000000000000000000000078000001f8000001fc00fffe00000000	bc031	3	tests/classes/classes.rxt	[[:punct:]]+
0000000000000000000000000000000000000880000000000000000000000000	bc032	3	tests/base/class_escape_fallbacks.rxt	[\k\g]+
0000000000000000000000000000000004000000040000000000000000000000	bc033	3	tests/base/cls_fold.rxt	([Zz]){2,4}y
000000000000000000000000ffffffff00000002000000000000000000000000	bc034	3	tests/base/high_bytes.rxt	[a\x80-\x9f]+
0000000000000000000000000000000000000004000000040000000000000000	bc035	2	tests/modifiers/scope.rxt	a(?i:b)*
fffffffffffffffffffffffffffffffffffffffffffffffffffffcffffffffff	bc036	2	tests/recursion/bothlinkage.rxt	^(?:(\((?:[^()]|(?1)){1,9}\))(x(?1)y)){0}(?2)$
0000000000000000000000000000000007fffffe0000000003ff600000000000	bc037	2	tests/offsetskip/offset_skip.rxt	[a-z0-9._%+-]+@[a-z0-9.-]+
fffffffffffffffffffffffffffffffffffffffbffffffffffffffffffffffff	bc038	2	tests/atomic_groups/d27/possessive_spellings.rxt	[^b]*+c
fffffffffffffffffffffffffffffffffffffff1dfffffffffffffffffffffff	bc039	2	tests/base/k18_cost_gates.rxt	(1{0,30}?[^]abc][^abc]){28,30}0+|a
fffffffffffffffffffffffffffffffffffffffffffffffffffffffbffffffff	bc040	1	tests/atomic_groups/possessive.rxt	[^"]*+"
