# OLS: text ~ intercept + sum_f n_f * text_f
# rows=72 sources=sweep_k53.tsv
term	bytes_per_section
intercept	180.5
ALL	26.8
RANGES	117.3
CUBES	0.0
MASK64	85.9
BITMAP	47.8
PAGE64	57.3
BSEARCH	86.1
#
# per-row residuals
set	policy	text_measured	text_fitted	residual
L	size	9672	9854.2	-182.2
L	n1size	2536	2537.7	-1.7
L	mid	1256	1250.0	+6.0
L	n1speed	1076	1100.7	-24.7
L	speed	1072	1091.2	-19.2
L	maxspeed	688	706.0	-18.0
^L	size	9608	9816.1	-208.1
^L	n1size	2788	2815.6	-27.6
^L	mid	1244	1240.5	+3.5
^L	n1speed	1096	1100.7	-4.7
^L	speed	1092	1091.2	+0.8
^L	maxspeed	692	706.0	-14.0
C	size	9836	9839.1	-3.1
C	n1size	2428	2601.8	-173.8
C	mid	1284	1297.8	-13.8
C	n1speed	1088	1077.5	+10.5
C	speed	1068	1041.2	+26.8
C	maxspeed	760	753.8	+6.2
^C	size	9984	9870.5	+113.5
^C	n1size	2500	2439.6	+60.4
^C	mid	1360	1405.1	-45.1
^C	n1speed	1128	1104.4	+23.6
^C	speed	1060	1041.2	+18.8
^C	maxspeed	744	753.8	-9.8
Cn	size	9728	9721.7	+6.3
Cn	n1size	2480	2511.3	-31.3
Cn	mid	1364	1351.5	+12.5
Cn	n1speed	1204	1184.9	+19.1
Cn	speed	1168	1148.5	+19.5
Cn	maxspeed	764	753.8	+10.2
^Cn	size	9964	9753.2	+210.8
^Cn	n1size	2548	2444.5	+103.5
^Cn	mid	1416	1458.8	-42.8
^Cn	n1speed	1240	1265.4	-25.4
^Cn	speed	1140	1148.5	-8.5
^Cn	maxspeed	736	753.8	-17.8
Xan	size	10456	10457.0	-1.0
Xan	n1size	2616	2569.8	+46.2
Xan	mid	1392	1416.5	-24.5
Xan	n1speed	1232	1249.9	-17.9
Xan	speed	1196	1213.6	-17.6
Xan	maxspeed	824	807.4	+16.6
^Xan	size	10252	10457.0	-205.0
^Xan	n1size	2468	2554.3	-86.3
^Xan	mid	1372	1336.0	+36.0
^Xan	n1speed	1360	1357.3	+2.7
^Xan	speed	972	954.8	+17.2
^Xan	maxspeed	840	834.3	+5.7
Xwd	size	12772	12654.5	+117.5
Xwd	n1size	2648	2648.0	-0.0
Xwd	mid	1656	1609.9	+46.1
Xwd	n1speed	1392	1399.2	-7.2
Xwd	speed	1336	1336.0	+0.0
Xwd	maxspeed	940	897.1	+42.9
^Xwd	size	12148	12147.1	+0.9
^Xwd	n1size	2740	2799.0	-59.0
^Xwd	mid	1636	1583.0	+53.0
^Xwd	n1speed	1376	1381.9	-5.9
^Xwd	speed	1320	1282.3	+37.7
^Xwd	maxspeed	948	897.1	+50.9
Unknown(Zzzz)	size	9700	9721.7	-21.7
Unknown(Zzzz)	n1size	2456	2511.3	-55.3
Unknown(Zzzz)	mid	1312	1297.8	+14.2
Unknown(Zzzz)	n1speed	1156	1131.2	+24.8
Unknown(Zzzz)	speed	1120	1094.8	+25.2
Unknown(Zzzz)	maxspeed	760	753.8	+6.2
^Unknown(Zzzz)	size	9936	9753.2	+182.8
^Unknown(Zzzz)	n1size	2520	2444.5	+75.5
^Unknown(Zzzz)	mid	1360	1405.1	-45.1
^Unknown(Zzzz)	n1speed	1192	1211.7	-19.7
^Unknown(Zzzz)	speed	1096	1094.8	+1.2
^Unknown(Zzzz)	maxspeed	736	753.8	-17.8
#
# R2=0.9996 worst_residual=210.8 bytes
