# population=k53 lams=0,16,256 tier2=False date=2026-09-11T09:09:21
set	intervals	lam	verdict	py_sections	c_sections	py_rodata	c_rodata	c_discovery_ms	py_discovery_s	speedup	detail
L	677	0	AGREE	19	19	3568	3568	22.6057	1.5889	70	
L	677	16	AGREE	27	27	4118	4118	22.9700	1.5998	70	
L	677	256	AGREE	25	25	5705	5705	23.0261	1.5948	69	
^L	678	0	AGREE	17	17	3617	3617	22.9608	1.5996	70	
^L	678	16	AGREE	25	25	4141	4141	23.0662	1.6018	69	
^L	678	256	AGREE	17	17	6168	6168	23.2543	1.5983	69	
C	736	0	AGREE	20	20	3868	3868	23.4563	1.7494	75	
C	736	16	AGREE	26	26	4327	4327	23.2975	1.7368	75	
C	736	256	AGREE	22	22	6326	6326	23.6432	1.7429	74	
^C	735	0	AGREE	17	17	3905	3905	25.0863	1.7464	70	
^C	735	16	AGREE	27	27	4172	4172	24.9396	1.7489	70	
^C	735	256	AGREE	22	22	6476	6476	25.0616	1.7448	70	
Cn	731	0	AGREE	18	18	3804	3804	23.0196	1.7079	74	
Cn	731	16	AGREE	17	17	4321	4321	22.6709	1.7053	75	
Cn	731	256	AGREE	26	26	6187	6187	23.4870	1.7319	74	
^Cn	731	0	AGREE	17	17	3865	3865	24.7332	1.7676	71	
^Cn	731	16	AGREE	33	33	4177	4177	24.6837	1.7596	71	
^Cn	731	256	AGREE	26	26	6683	6683	24.8006	1.7601	71	
Xan	770	0	AGREE	19	19	3886	3886	25.0365	1.8379	73	
Xan	770	16	AGREE	32	32	4631	4631	25.2116	1.8379	73	
Xan	770	256	AGREE	18	18	7421	7421	25.1229	1.8342	73	
^Xan	771	0	AGREE	21	21	3926	3926	25.0319	1.8341	73	
^Xan	771	16	AGREE	31	31	4684	4684	25.0151	1.8407	74	
^Xan	771	256	AGREE	18	18	7565	7565	24.7872	1.8338	74	
Xwd	930	0	AGREE	22	22	4108	4108	26.3503	2.2468	85	
Xwd	930	16	AGREE	36	36	5024	5024	26.3356	2.2471	85	
Xwd	930	256	AGREE	31	31	6740	6740	26.2585	2.2451	85	
^Xwd	931	0	AGREE	22	22	4110	4110	26.5548	2.2214	84	
^Xwd	931	16	AGREE	34	34	5009	5009	26.8221	2.1962	82	
^Xwd	931	256	AGREE	29	29	7494	7494	26.7671	2.2256	83	
Unknown(Zzzz)	729	0	AGREE	18	18	3780	3780	22.6869	1.7112	75	
Unknown(Zzzz)	729	16	AGREE	28	28	4386	4386	23.0911	1.7171	74	
Unknown(Zzzz)	729	256	AGREE	24	24	6151	6151	22.6410	1.7150	76	
^Unknown(Zzzz)	729	0	AGREE	17	17	3841	3841	24.6210	1.7568	71	
^Unknown(Zzzz)	729	16	AGREE	29	29	4136	4136	25.0190	1.7568	70	
^Unknown(Zzzz)	729	256	AGREE	24	24	6486	6486	24.8057	1.7533	71	
