# population=uprops lams=16 tier2=False date=2026-09-11T09:24:27
set	intervals	lam	verdict	py_sections	c_sections	py_rodata	c_rodata	c_discovery_ms	py_discovery_s	speedup	detail
XWD	930	16	AGREE	36	36	5024	5024	25.8567	2.1759	84	
XAN	770	16	AGREE	32	32	4631	4631	24.2458	1.7862	74	
C	736	16	AGREE	26	26	4327	4327	22.7750	1.6873	74	
CN	731	16	AGREE	17	17	4321	4321	22.2478	1.6911	76	
ZZZZ	729	16	AGREE	28	28	4386	4386	22.2665	1.6702	75	
L	677	16	AGREE	27	27	4118	4118	22.2920	1.5515	70	
LL	662	16	AGREE	13	13	1517	1517	9.1827	1.1824	129	
LU	651	16	AGREE	25	25	1304	1304	10.1319	1.1660	115	
LO	528	16	AGREE	25	25	3342	3342	18.3056	1.1920	65	
MN	357	16	AGREE	8	8	2140	2140	9.4424	0.7569	80	
M	321	16	AGREE	8	8	2235	2235	9.4343	0.6768	72	
S	236	16	AGREE	4	4	1755	1755	8.7483	0.4827	55	
P	198	16	AGREE	5	5	1606	1606	6.3385	0.3840	61	
PO	193	16	AGREE	5	5	1502	1502	5.4666	0.3669	67	
MC	190	16	AGREE	11	11	1168	1168	4.3218	0.3575	83	
SO	187	16	AGREE	4	4	1546	1546	6.8640	0.3635	53	
ZYYY	174	16	AGREE	5	5	1481	1481	6.3342	0.3341	53	
L&	145	16	AGREE	5	5	1077	1077	3.3233	0.2556	77	
N	144	16	AGREE	4	4	1351	1351	5.0615	0.2527	50	
PS	79	16	AGREE	2	2	474	474	0.6681	0.0878	131	
PE	76	16	AGREE	2	2	466	466	0.6129	0.0807	132	
LM	75	16	AGREE	2	2	703	703	1.4385	0.0829	58	
NO	72	16	AGREE	7	7	750	750	1.4333	0.0764	53	
ND	71	16	AGREE	2	2	642	642	1.1537	0.0732	63	
LATN	65	16	AGREE	2	2	586	586	0.7298	0.0595	82	
SM	65	16	AGREE	2	2	638	638	0.7964	0.0590	74	
ARAB	59	16	AGREE	3	3	438	438	0.3925	0.0423	108	
ARAB	55	16	AGREE	2	2	363	363	0.2964	0.0344	116	
GREK	44	16	AGREE	5	5	371	371	0.1534	0.0200	131	
HAN	42	16	AGREE	1	1	440	440	0.2315	0.0181	78	
LATN	39	16	AGREE	1	1	416	416	0.1552	0.0148	96	
ETHI	37	16	AGREE	6	6	228	228	0.0776	0.0122	158	
ETHI	36	16	AGREE	5	5	206	206	0.0711	0.0113	158	
GREK	36	16	AGREE	5	5	328	328	0.0756	0.0115	152	
SK	31	16	AGREE	1	1	352	352	0.0712	0.0077	108	
QAAI	29	16	AGREE	1	1	336	336	0.0552	0.0063	114	
BENG	27	16	AGREE	4	4	150	150	0.0216	0.0049	229	
GRAN	25	16	AGREE	9	9	204	204	0.0198	0.0040	202	
TAML	25	16	AGREE	9	9	204	204	0.0173	0.0039	228	
HAN	22	16	AGREE	1	1	280	280	0.0290	0.0032	111	
KANA	22	16	AGREE	14	14	312	312	0.0279	0.0032	113	
CF	21	16	AGREE	1	1	272	272	0.0216	0.0027	126	
HANG	21	16	AGREE	13	13	290	290	0.0215	0.0028	131	
KNDA	21	16	AGREE	6	6	138	138	0.0118	0.0026	223	
SC	21	16	AGREE	1	1	272	272	0.0239	0.0028	116	
PD	20	16	AGREE	1	1	264	264	0.0197	0.0024	122	
GURU	19	16	AGREE	2	2	119	119	0.0087	0.0020	234	
SYRC	19	16	AGREE	2	2	126	126	0.0122	0.0021	174	
CYRL	18	16	AGREE	12	12	268	268	0.0187	0.0019	101	
ORYA	18	16	AGREE	3	3	173	173	0.0059	0.0017	295	
TAML	18	16	AGREE	4	4	92	92	0.0045	0.0016	353	
GUJR	17	16	AGREE	2	2	136	136	0.0047	0.0015	319	
HIRA	17	16	AGREE	10	10	224	224	0.0107	0.0017	159	
TELU	17	16	AGREE	5	5	164	164	0.0052	0.0015	295	
GLAG	16	16	AGREE	11	11	246	246	0.0089	0.0014	159	
GURU	16	16	AGREE	2	2	48	48	0.0028	0.0011	404	
TUTG	16	16	AGREE	6	6	138	138	0.0071	0.0013	187	
BOPO	15	16	AGREE	7	7	158	158	0.0084	0.0012	145	
GRAN	15	16	AGREE	2	2	48	48	0.0022	0.0010	472	
SINH	15	16	AGREE	5	5	114	114	0.0035	0.0011	312	
