# seed=1 cases=40 lams=0,16,256 cc=gcc-16 elapsed_s=201.9 date=2026-09-11T09:16:56
# EVERY row compares 1114112 code points (0..0x10FFFF)
# PASS=438 FAIL=0
case	genA	genB	op	lam	nA	nB	nC	verdict	detail
p000_union_l0	boundary	comb	union	0.0	8	482	490	PASS	0
p000_union_l16	boundary	comb	union	16.0	8	482	490	PASS	0
p000_union_l256	boundary	comb	union	256.0	8	482	490	PASS	0
p000_diff_l0	boundary	comb	diff	0.0	8	482	8	PASS	0
p000_diff_l16	boundary	comb	diff	16.0	8	482	8	PASS	0
p000_diff_l256	boundary	comb	diff	256.0	8	482	8	PASS	0
p000_compl_l0	boundary	comb	compl	0.0	8	482	7	PASS	0
p000_compl_l16	boundary	comb	compl	16.0	8	482	7	PASS	0
p000_compl_l256	boundary	comb	compl	256.0	8	482	7	PASS	0
p001_union_l0	comb	orbit	union	0.0	105	320	425	PASS	0
p001_union_l16	comb	orbit	union	16.0	105	320	425	PASS	0
p001_union_l256	comb	orbit	union	256.0	105	320	425	PASS	0
p001_diff_l0	comb	orbit	diff	0.0	105	320	105	PASS	0
p001_diff_l16	comb	orbit	diff	16.0	105	320	105	PASS	0
p001_diff_l256	comb	orbit	diff	256.0	105	320	105	PASS	0
p001_compl_l0	comb	orbit	compl	0.0	105	320	106	PASS	0
p001_compl_l16	comb	orbit	compl	16.0	105	320	106	PASS	0
p001_compl_l256	comb	orbit	compl	256.0	105	320	106	PASS	0
p002_union_l0	dense	sparse	union	0.0	12	85	81	PASS	0
p002_union_l16	dense	sparse	union	16.0	12	85	81	PASS	0
p002_union_l256	dense	sparse	union	256.0	12	85	81	PASS	0
p002_inter_l0	dense	sparse	inter	0.0	12	85	16	PASS	0
p002_inter_l16	dense	sparse	inter	16.0	12	85	16	PASS	0
p002_inter_l256	dense	sparse	inter	256.0	12	85	16	PASS	0
p002_diff_l0	dense	sparse	diff	0.0	12	85	28	PASS	0
p002_diff_l16	dense	sparse	diff	16.0	12	85	28	PASS	0
p002_diff_l256	dense	sparse	diff	256.0	12	85	28	PASS	0
p002_compl_l0	dense	sparse	compl	0.0	12	85	13	PASS	0
p002_compl_l16	dense	sparse	compl	16.0	12	85	13	PASS	0
