# population=byteclasses cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:11:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
bc000	4	63	75	0	size	2	56	0	56	0	3.0	PASS	0	0.006077	ALL:1,MASK64:1
bc000	4	63	75	4	n1size	2	56	0	56	0	3.0	PASS	0	0.003063	ALL:1,MASK64:1
bc000	4	63	75	16	mid	2	56	0	56	0	3.0	PASS	0	0.003424	ALL:1,MASK64:1
bc000	4	63	75	64	n1speed	4	64	0	64	0	0.0	PASS	0	0.003129	ALL:4
bc000	4	63	75	256	speed	4	64	0	64	0	0.0	PASS	0	0.003321	ALL:4
bc000	4	63	75	1e+09	maxspeed	4	64	0	64	0	0.0	PASS	0	0.004508	ALL:4
bc001	2	255	256	0	size	1	16	0	16	0	4.0	PASS	0	0.003041	RANGES:1
bc001	2	255	256	4	n1size	2	16	0	16	0	0.0	PASS	0	0.003278	ALL:2
bc001	2	255	256	16	mid	2	16	0	16	0	0.0	PASS	0	0.003166	ALL:2
bc001	2	255	256	64	n1speed	2	16	0	16	0	0.0	PASS	0	0.003279	ALL:2
bc001	2	255	256	256	speed	2	16	0	16	0	0.0	PASS	0	0.003149	ALL:2
bc001	2	255	256	1e+09	maxspeed	2	16	0	16	0	0.0	PASS	0	0.003638	ALL:2
bc002	2	255	256	0	size	1	20	0	20	0	4.0	PASS	0	0.003032	RANGES:1
bc002	2	255	256	4	n1size	2	20	0	20	0	0.0	PASS	0	0.003430	ALL:2
bc002	2	255	256	16	mid	2	20	0	20	0	0.0	PASS	0	0.003477	ALL:2
bc002	2	255	256	64	n1speed	2	20	0	20	0	0.0	PASS	0	0.003575	ALL:2
bc002	2	255	256	256	speed	2	20	0	20	0	0.0	PASS	0	0.003232	ALL:2
bc002	2	255	256	1e+09	maxspeed	2	20	0	20	0	0.0	PASS	0	0.003325	ALL:2
bc003	2	52	58	0	size	1	28	0	28	0	3.0	PASS	0	0.003116	MASK64:1
bc003	2	52	58	4	n1size	1	28	0	28	0	3.0	PASS	0	0.002951	MASK64:1
bc003	2	52	58	16	mid	2	36	0	36	0	0.0	PASS	0	0.003057	ALL:2
bc003	2	52	58	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.003209	ALL:2
bc003	2	52	58	256	speed	2	36	0	36	0	0.0	PASS	0	0.003052	ALL:2
bc003	2	52	58	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.003021	ALL:2
bc004	2	246	256	0	size	1	32	0	32	0	4.0	PASS	0	0.003262	RANGES:1
bc004	2	246	256	4	n1size	2	32	0	32	0	0.0	PASS	0	0.003549	ALL:2
bc004	2	246	256	16	mid	2	32	0	32	0	0.0	PASS	0	0.003270	ALL:2
bc004	2	246	256	64	n1speed	2	32	0	32	0	0.0	PASS	0	0.003254	ALL:2
bc004	2	246	256	256	speed	2	32	0	32	0	0.0	PASS	0	0.003242	ALL:2
bc004	2	246	256	1e+09	maxspeed	2	32	0	32	0	0.0	PASS	0	0.003443	ALL:2
bc005	2	255	256	0	size	1	20	0	20	0	4.0	PASS	0	0.003321	RANGES:1
bc005	2	255	256	4	n1size	2	20	0	20	0	0.0	PASS	0	0.003067	ALL:2
bc005	2	255	256	16	mid	2	20	0	20	0	0.0	PASS	0	0.003477	ALL:2
bc005	2	255	256	64	n1speed	2	20	0	20	0	0.0	PASS	0	0.005578	ALL:2
bc005	2	255	256	256	speed	2	20	0	20	0	0.0	PASS	0	0.003446	ALL:2
bc005	2	255	256	1e+09	maxspeed	2	20	0	20	0	0.0	PASS	0	0.003135	ALL:2
bc006	2	253	256	0	size	1	32	0	32	0	4.0	PASS	0	0.003064	RANGES:1
bc006	2	253	256	4	n1size	2	32	0	32	0	0.0	PASS	0	0.003703	ALL:2
bc006	2	253	256	16	mid	2	32	0	32	0	0.0	PASS	0	0.004526	ALL:2
bc006	2	253	256	64	n1speed	2	32	0	32	0	0.0	PASS	0	0.005164	ALL:2
bc006	2	253	256	256	speed	2	32	0	32	0	0.0	PASS	0	0.004790	ALL:2
bc006	2	253	256	1e+09	maxspeed	2	32	0	32	0	0.0	PASS	0	0.003058	ALL:2
bc007	3	204	256	0	size	1	56	20	76	20	12.0	PASS	0	0.003376	PAGE64:1
bc007	3	204	256	4	n1size	1	40	0	40	0	6.0	PASS	0	0.005472	RANGES:1
bc007	3	204	256	16	mid	3	52	0	52	0	0.0	PASS	0	0.003242	ALL:3
bc007	3	204	256	64	n1speed	3	52	0	52	0	0.0	PASS	0	0.003555	ALL:3
bc007	3	204	256	256	speed	3	52	0	52	0	0.0	PASS	0	0.004397	ALL:3
bc007	3	204	256	1e+09	maxspeed	3	52	0	52	0	0.0	PASS	0	0.005296	ALL:3
bc008	2	68	97	0	size	1	36	0	36	0	4.0	PASS	0	0.005747	RANGES:1
bc008	2	68	97	4	n1size	2	40	0	40	0	0.0	PASS	0	0.004657	ALL:2
bc008	2	68	97	16	mid	2	40	0	40	0	0.0	PASS	0	0.003661	ALL:2
bc008	2	68	97	64	n1speed	2	40	0	40	0	0.0	PASS	0	0.004893	ALL:2
bc008	2	68	97	256	speed	2	40	0	40	0	0.0	PASS	0	0.003180	ALL:2
bc008	2	68	97	1e+09	maxspeed	2	40	0	40	0	0.0	PASS	0	0.003231	ALL:2
