# population=k53 cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:10:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
L	677	141028	205679	0	size	19	1392	2926	4318	2890	206.2	PASS	0	0.029355	ALL:1,BSEARCH:1,MASK64:2,PAGE64:12,RANGES:3
L	677	141028	205679	4	n1size	17	1168	3028	4196	2995	175.3	PASS	0	0.026473	ALL:3,BITMAP:1,BSEARCH:1,PAGE64:10,RANGES:2
L	677	141028	205679	16	mid	27	1184	3175	4359	3170	107.7	PASS	0	0.028694	ALL:16,BITMAP:7,BSEARCH:1,PAGE64:3
L	677	141028	205679	64	n1speed	25	1076	4283	5359	4283	78.0	PASS	0	0.029336	ALL:14,BITMAP:9,PAGE64:2
L	677	141028	205679	256	speed	25	1072	4778	5850	4773	72.0	PASS	0	0.031005	ALL:14,BITMAP:10,PAGE64:1
L	677	141028	205679	1e+09	maxspeed	11	688	24308	24996	24308	66.0	PASS	0	0.031049	BITMAP:11
^L	678	973084	1114112	0	size	17	1188	3054	4242	3011	187.6	PASS	0	0.031066	ALL:1,BSEARCH:1,MASK64:1,PAGE64:11,RANGES:3
^L	678	973084	1114112	4	n1size	19	1192	3009	4201	2987	160.5	PASS	0	0.031088	ALL:4,BITMAP:2,BSEARCH:1,MASK64:3,PAGE64:8,RANGES:1
^L	678	973084	1114112	16	mid	25	1152	3243	4395	3237	107.7	PASS	0	0.029450	ALL:14,BITMAP:7,BSEARCH:1,PAGE64:3
^L	678	973084	1114112	64	n1speed	24	1072	3939	5011	3934	84.0	PASS	0	0.030487	ALL:13,BITMAP:8,PAGE64:3
^L	678	973084	1114112	256	speed	17	852	5453	6305	5448	78.0	PASS	0	0.030272	ALL:6,BITMAP:9,PAGE64:2
^L	678	973084	1114112	1e+09	maxspeed	11	692	135907	136599	135907	66.0	PASS	0	0.029180	BITMAP:11
