# population=uprops cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:05:22
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
XWD	930	144969	917952	0	size	108	12772	58	12830	58	1662.0	PASS	0	0.033353	BITMAP:1,MASK64:4,RANGES:103
XWD	930	144969	917952	16	mid	39	1656	3415	5071	3407	125.7	PASS	0	0.042776	ALL:23,BITMAP:14,BSEARCH:1,PAGE64:1
XWD	930	144969	917952	256	speed	31	1336	5530	6866	5524	96.0	PASS	0	0.040637	ALL:16,BITMAP:14,PAGE64:1
XAN	770	142939	205696	0	size	89	10456	65	10521	65	1375.0	PASS	0	0.039395	BITMAP:1,MASK64:3,RANGES:85
XAN	770	142939	205696	16	mid	33	1392	3303	4695	3300	117.8	PASS	0	0.039777	ALL:19,BITMAP:11,BSEARCH:1,PAGE64:2
XAN	770	142939	205696	256	speed	28	1196	5373	6569	5369	84.0	PASS	0	0.040760	ALL:15,BITMAP:12,PAGE64:1
C	736	959284	1114112	0	size	84	9836	59	9895	59	1278.0	PASS	0	0.037250	BITMAP:1,MASK64:4,RANGES:79
C	736	959284	1114112	16	mid	29	1284	3468	4752	3462	119.9	PASS	0	0.036751	ALL:16,BITMAP:9,BSEARCH:1,PAGE64:3
C	736	959284	1114112	256	speed	22	1068	5462	6530	5458	84.0	PASS	0	0.037329	ALL:10,BITMAP:10,PAGE64:2
CN	731	819533	1113224	0	size	83	9728	63	9791	63	1266.0	PASS	0	0.037576	BITMAP:1,MASK64:4,RANGES:78
CN	731	819533	1113224	16	mid	31	1364	3428	4792	3424	119.7	PASS	0	0.035101	ALL:18,BITMAP:9,BSEARCH:1,PAGE64:3
CN	731	819533	1113224	256	speed	26	1168	5241	6409	5231	84.0	PASS	0	0.037376	ALL:14,BITMAP:10,PAGE64:2
ZZZZ	729	959049	1113224	0	size	83	9700	63	9763	63	1262.0	PASS	0	0.037704	BITMAP:1,MASK64:4,RANGES:78
ZZZZ	729	959049	1113224	16	mid	29	1312	3428	4740	3424	119.7	PASS	0	0.035960	ALL:16,BITMAP:9,BSEARCH:1,PAGE64:3
ZZZZ	729	959049	1113224	256	speed	24	1120	5249	6369	5239	84.0	PASS	0	0.037270	ALL:12,BITMAP:10,PAGE64:2
L	677	141028	205679	0	size	83	9672	0	9672	0	1302.0	PASS	0	0.036888	MASK64:2,RANGES:81
L	677	141028	205679	16	mid	28	1256	3055	4311	3050	111.3	PASS	0	0.037700	ALL:16,BITMAP:8,BSEARCH:1,PAGE64:3
L	677	141028	205679	256	speed	25	1072	4778	5850	4773	72.0	PASS	0	0.039005	ALL:14,BITMAP:10,PAGE64:1
LL	662	2258	125155	0	size	30	2444	81	2525	67	295.0	PASS	0	0.019996	BITMAP:4,CUBES:2,MASK64:9,RANGES:15
LL	662	2258	125155	16	mid	37	1304	443	1747	424	64.0	PASS	0	0.019782	ALL:23,BITMAP:8,CUBES:2,MASK64:4
LL	662	2258	125155	256	speed	14	668	2643	3311	2630	65.0	PASS	0	0.019892	ALL:1,BITMAP:7,CUBES:4,MASK64:1,PAGE64:1
LU	651	1858	125153	0	size	31	2232	41	2273	34	245.0	PASS	0	0.021571	BITMAP:2,CUBES:2,MASK64:15,RANGES:12
LU	651	1858	125153	16	mid	25	1052	456	1508	436	67.0	PASS	0	0.021403	ALL:10,BITMAP:8,CUBES:2,MASK64:5
LU	651	1858	125153	256	speed	12	628	2264	2892	2241	67.0	PASS	0	0.021465	BITMAP:8,CUBES:2,MASK64:1,PAGE64:1
LO	528	136477	205574	0	size	64	7464	11	7475	11	997.0	PASS	0	0.033599	BITMAP:1,MASK64:1,RANGES:62
LO	528	136477	205574	16	mid	31	1164	2522	3686	2517	88.1	PASS	0	0.032670	ALL:21,BITMAP:8,BSEARCH:1,PAGE64:1
LO	528	136477	205574	256	speed	20	892	4586	5478	4580	66.0	PASS	0	0.033741	ALL:11,BITMAP:7,PAGE64:2
MN	357	2020	917232	0	size	45	5048	0	5048	0	714.0	PASS	0	0.020407	RANGES:45
MN	357	2020	917232	16	mid	9	544	1825	2369	1823	74.0	PASS	0	0.020006	ALL:2,BITMAP:4,BSEARCH:1,PAGE64:2
MN	357	2020	917232	256	speed	7	412	3388	3800	3381	48.0	PASS	0	0.017512	ALL:1,BITMAP:4,PAGE64:2
M	321	2501	917232	0	size	41	4488	0	4488	0	640.0	PASS	0	0.021466	ALL:1,RANGES:40
M	321	2501	917232	16	mid	17	728	1653	2381	1651	68.4	PASS	0	0.019974	ALL:10,BITMAP:5,BSEARCH:1,PAGE64:1
M	321	2501	917232	256	speed	6	360	3765	4125	3761	42.0	PASS	0	0.019137	ALL:1,BITMAP:3,PAGE64:2
S	236	8514	129996	0	size	30	3508	0	3508	0	472.0	PASS	0	0.019754	RANGES:30
S	236	8514	129996	16	mid	4	332	1590	1922	1579	63.9	PASS	0	0.020335	BSEARCH:1,PAGE64:3
S	236	8514	129996	256	speed	5	292	4249	4541	4247	30.0	PASS	0	0.019680	ALL:1,BITMAP:3,PAGE64:1
P	198	855	125247	0	size	25	2868	0	2868	0	396.0	PASS	0	0.015342	RANGES:25
P	198	855	125247	16	mid	23	800	1290	2090	1282	42.0	PASS	0	0.016252	ALL:19,BITMAP:1,PAGE64:3
P	198	855	125247	256	speed	4	244	3398	3642	3392	33.0	PASS	0	0.015442	BITMAP:1,MASK64:1,PAGE64:2
PO	193	640	125247	0	size	24	2624	0	2624	0	371.0	PASS	0	0.014825	MASK64:1,RANGES:23
PO	193	640	125247	16	mid	20	708	1218	1926	1213	45.0	PASS	0	0.016275	ALL:15,BITMAP:1,MASK64:1,PAGE64:3
PO	193	640	125247	256	speed	4	232	3328	3560	3324	30.0	PASS	0	0.013566	ALL:1,BITMAP:1,PAGE64:2
MC	190	468	116848	0	size	24	2640	0	2640	0	380.0	PASS	0	0.013604	RANGES:24
MC	190	468	116848	16	mid	11	472	885	1357	883	36.0	PASS	0	0.012892	ALL:6,BITMAP:4,PAGE64:1
MC	190	468	116848	256	speed	8	324	1912	2236	1911	24.0	PASS	0	0.012670	ALL:5,BITMAP:2,PAGE64:1
