family	arm	round	load1	ns_per_call	ns_per_byte	hits	calls	checksum
B_general	base	1	0.39	9.747376	7.887840	2121320	2121340	5801862038462267888
B_general	table	1	0.39	9.037787	7.313621	2121320	2121340	5801862038462267888
B_general	rangecmp	1	0.39	9.164273	7.415977	2121320	2121340	5801862038462267888
B_general	base	2	0.39	10.367601	8.389743	2121320	2121340	5801862038462267888
B_general	table	2	0.39	9.472048	7.665037	2121320	2121340	5801862038462267888
B_general	rangecmp	2	0.39	5.297494	4.286875	2121320	2121340	5801862038462267888
B_general	base	3	0.39	9.423305	7.625592	2121320	2121340	5801862038462267888
B_general	table	3	0.39	9.949537	8.051434	2121320	2121340	5801862038462267888
B_general	rangecmp	3	0.39	5.333146	4.315726	2121320	2121340	5801862038462267888
B_general	base	4	0.39	9.856558	7.976193	2121320	2121340	5801862038462267888
B_general	table	4	0.39	9.502798	7.689920	2121320	2121340	5801862038462267888
B_general	rangecmp	4	0.39	8.888111	7.192499	2121320	2121340	5801862038462267888
B_general	base	5	0.39	10.022548	8.110516	2121320	2121340	5801862038462267888
B_general	table	5	0.39	9.132053	7.389904	2121320	2121340	5801862038462267888
B_general	rangecmp	5	0.39	8.863665	7.172717	2121320	2121340	5801862038462267888
B_general	base	6	0.39	9.698020	7.847900	2121320	2121340	5801862038462267888
B_general	table	6	0.39	9.161256	7.413536	2121320	2121340	5801862038462267888
B_general	rangecmp	6	0.39	9.520475	7.704226	2121320	2121340	5801862038462267888
B_general	base	7	0.39	7.269440	5.882627	2121320	2121340	5801862038462267888
B_general	table	7	0.39	9.378102	7.589013	2121320	2121340	5801862038462267888
B_general	rangecmp	7	0.39	10.012102	8.102063	2121320	2121340	5801862038462267888
B_general	base	8	0.39	9.587240	7.758253	2121320	2121340	5801862038462267888
B_general	table	8	0.39	9.062827	7.333884	2121320	2121340	5801862038462267888
B_general	rangecmp	8	0.39	9.808234	7.937088	2121320	2121340	5801862038462267888
B_general	base	9	0.39	9.581583	7.753675	2121320	2121340	5801862038462267888
B_general	table	9	0.39	9.180108	7.428791	2121320	2121340	5801862038462267888
B_general	rangecmp	9	0.39	9.252350	7.487252	2121320	2121340	5801862038462267888
B_general	base	10	0.39	10.075482	8.153352	2121320	2121340	5801862038462267888
B_general	table	10	0.39	9.889730	8.003036	2121320	2121340	5801862038462267888
B_general	rangecmp	10	0.39	9.970076	8.068055	2121320	2121340	5801862038462267888
B_general	base	11	0.39	9.736303	7.878879	2121320	2121340	5801862038462267888
B_general	table	11	0.39	9.775146	7.910312	2121320	2121340	5801862038462267888
B_general	rangecmp	11	0.39	8.982764	7.269095	2121320	2121340	5801862038462267888
