family	arm	rounds	median_ns_call	min_ns_call	max_ns_call	median_ns_byte	min_ns_byte	max_ns_byte	load1
B_general	base	11	9.736	7.269	10.368	7.8789	5.8826	8.3897	0.39
B_general	table	11	9.378	9.038	9.950	7.5890	7.3136	8.0514	0.39
B_general	rangecmp	11	9.164	5.297	10.012	7.4160	4.2869	8.1021	0.39
B_sparse	base	11	32.524	15.771	36.463	6.1507	2.9824	6.8955	0.39
B_sparse	table	11	31.460	14.277	34.069	5.9495	2.7000	6.4427	0.39
B_sparse	rangecmp	11	36.234	19.088	40.325	6.8521	3.6097	7.6259	0.39
C_small	base	11	375.706	369.908	419.201	1.3042	1.2841	1.4552	0.39
C_small	range	11	378.552	372.208	427.356	1.3141	1.2921	1.4835	0.39
C_small	fold	11	376.800	370.487	402.696	1.3080	1.2861	1.3979	0.39
D_n16	base	11	1147.433	635.645	1405.290	2.6963	1.4937	3.3022	0.39
D_n16	table	11	874.930	485.622	890.860	2.0560	1.1411	2.0934	0.39
D_n16	atom	11	885.042	481.214	1069.307	2.0797	1.1308	2.5127	0.39
