id	raw_n	min_n	frac0	T0	block0	closedfrac0	frac1	T1	block1	closedfrac1	frac2	T2	block2	closedfrac2	frac3	T3	block3	closedfrac3	frac4	T4	block4	closedfrac4	exceeds_final	max_exceed_ratio
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/base/k18_cost_gates.rxt:66	27575	1010	0.10	2758	2758	0.000363	0.25	6894	5661	0.000145	0.50	13788	9169	0.000073	0.75	20681	10608	0.000387	1.00	27575	1010	1.000000	1	10.503
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/base/k18_cost_gates.rxt:70	1968	83	0.10	197	197	0.005076	0.25	492	492	0.002033	0.50	984	984	0.002033	0.75	1476	1418	0.001355	1.00	1968	83	1.000000	1	17.084
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:15	16	2	0.10	2	2	0.000000	0.25	4	4	0.000000	0.50	8	8	0.125000	0.75	12	12	0.083333	1.00	16	2	1.000000	1	6.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:93	18	2	0.10	2	2	0.000000	0.25	5	5	0.200000	0.50	9	9	0.111111	0.75	14	14	0.071429	1.00	18	2	1.000000	1	7.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:169	20	2	0.10	2	2	0.000000	0.25	5	5	0.200000	0.50	10	10	0.100000	0.75	15	15	0.066667	1.00	20	2	1.000000	1	7.500
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:246	26	2	0.10	3	3	0.000000	0.25	7	7	0.142857	0.50	13	13	0.076923	0.75	20	20	0.050000	1.00	26	2	1.000000	1	10.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:323	32	2	0.10	3	3	0.000000	0.25	8	8	0.125000	0.50	16	16	0.062500	0.75	24	24	0.041667	1.00	32	2	1.000000	1	12.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:399	34	2	0.10	3	3	0.000000	0.25	9	9	0.111111	0.50	17	17	0.058824	0.75	26	26	0.038462	1.00	34	2	1.000000	1	13.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:475	36	2	0.10	4	4	0.000000	0.25	9	9	0.111111	0.50	18	18	0.055556	0.75	27	27	0.037037	1.00	36	2	1.000000	1	13.500
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:554	25	2	0.10	3	3	0.000000	0.25	6	6	0.166667	0.50	13	13	0.076923	0.75	19	19	0.052632	1.00	25	2	1.000000	1	9.500
