== registry vs libpcre2 (PC-3) ==
  libpcre2 version: 10.48 2026-08-31
  library path:     /opt/homebrew/Cellar/pcre2/10.48/lib/libpcre2-8.0.dylib
  compile options:  0 (no PCRE2_UTF, no PCRE2_UCP, no PCRE2_CASELESS)
PASS: esc \d
PASS: esc \D
PASS: esc \s
PASS: esc \S
PASS: esc \w
PASS: esc \W
PASS: esc \h
PASS: esc \H
PASS: esc \v
PASS: esc \V
PASS: esc \N
PASS: esc \N{name}
PASS: esc \N{U+0041} (libpcre2 recognises it and refuses the MODE: error 193)
PASS: esc \b
PASS: esc \B
PASS: esc \A
PASS: esc \Z
PASS: esc \z
PASS: esc \G
PASS: esc \K
PASS: esc \k<name>
PASS: esc \g{-1}
PASS: esc \g<1>
PASS: esc \g'1'
PASS: esc \g<0>
PASS: esc \g<01>
PASS: esc \g'0'
PASS: esc \g'01'
PASS: esc \p{L}
PASS: esc \P{L}
PASS: esc \Q
PASS: esc \E
PASS: esc \R
PASS: esc \X
PASS: esc \C
PASS: esc \cX
PASS: esc \o{101}
PASS: esc \0
PASS: esc \1
PASS: esc \2
PASS: esc \3
PASS: esc \4
PASS: esc \5
PASS: esc \6
PASS: esc \7
PASS: esc \8
PASS: esc \9
PASS: esc \a
PASS: esc \e
PASS: esc \f
PASS: esc \n
PASS: esc \r
PASS: esc \t
PASS: esc \x41
PASS: group (?:...)
PASS: group (?=...)
PASS: group (?!...)
PASS: group (?<=...)
PASS: group (?<!...)
PASS: group (?<*a)
PASS: group (?<name>a)
PASS: group (?'name'...)
PASS: group (?P<name>a)
PASS: group (?P=n)
PASS: group (?P>n)
PASS: group (?PX)
PASS: group (?>...)
PASS: group (?*a)
PASS: group (?#...)
PASS: group (?C1)
PASS: group (?|...)
PASS: group (?(1)a|b)
PASS: group (?(DEFINE)(?<w>a))
PASS: group (?&name)
PASS: group (?R)
PASS: group (?0)
PASS: group (?00)
PASS: group (?1)
PASS: group (?2)
PASS: group (?3)
PASS: group (?4)
PASS: group (?5)
PASS: group (?6)
PASS: group (?7)
PASS: group (?8)
PASS: group (?9)
PASS: group (?10)
PASS: group (?01)
PASS: group (?+1)(a)
PASS: group (?+2)(a)(b)
PASS: group (a)(?-01)
PASS: group (a)(?-1)
PASS: group (a)(a)(?-2)
PASS: group (a)(a)(a)(?-3)
PASS: group (a)(a)(a)(a)(?-4)
PASS: group (a)(a)(a)(a)(a)(?-5)
PASS: group (a)(a)(a)(a)(a)(a)(?-6)
PASS: group (a)(a)(a)(a)(a)(a)(a)(?-7)
PASS: group (a)(a)(a)(a)(a)(a)(a)(a)(?-8)
PASS: group (a)(a)(a)(a)(a)(a)(a)(a)(a)(?-9)
PASS: group (a)(a)(a)(a)(a)(a)(a)(a)(a)(a)(?-10)
PASS: group (?[[a]])
PASS: group (?)
PASS: group (?-i)
PASS: group (?^)
PASS: group (?J)
PASS: group (?U)
PASS: group (?a)
PASS: group (?i)
PASS: group (?m)
PASS: group (?n)
PASS: group (?r)
PASS: group (?s)
PASS: group (?x)
PASS: group (?q)
PASS: verb (*pla:a)
PASS: verb (*positive_lookahead:a)
PASS: verb (*nla:a)
PASS: verb (*negative_lookahead:a)
PASS: verb (*plb:a)
PASS: verb (*positive_lookbehind:a)
PASS: verb (*nlb:a)
PASS: verb (*negative_lookbehind:a)
PASS: verb (*napla:a)
PASS: verb (*non_atomic_positive_lookahead:a)
PASS: verb (*naplb:a)
PASS: verb (*non_atomic_positive_lookbehind:a)
PASS: verb (*ACCEPT)
PASS: classbracket [[:alpha:]]
PASS: classbracket [[.a.]]
PASS: classbracket [[=a=]]
PASS: quantsuffix a*+
PASS: quantsuffix a++
PASS: quantsuffix a?+
PASS: quantsuffix a{1,2}+
PASS: bare ^
PASS: bare $
PASS: bare (a)
PASS: capability-refusal exemptions: exactly 1 row (libpcre2 names the construct and refuses the mode)
  (30 of the probes needed a context wrapper; 30 wrappers defined)
  candidate pool: 67818 ASCII runs in /opt/homebrew/Cellar/pcre2/10.48/lib/libpcre2-8.0.dylib, expanded to prefixes and suffixes
FAIL: verb differential: '(*enla'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*non_atomic_mpositive_lookbehind'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*negative_Zlookbehind'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*nlPa'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*non_atomir_positive_lookahead'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*varlookbehi'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*non_atomic_posiQive_lookbehind'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*kNYCRLF'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*extr'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*tegative_lookahead'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*nonG_atomic_positive_lookbehind'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*naclb'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*manichaean'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*non_atomic_positive_lookbelhind'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*non_atomic_poGsitive_lookahead'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*atomiq_script_run'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*tern_length_8'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*abr'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*posihtive_lookahead'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
FAIL: verb differential: '(*napqla'
        libpcre2: 114 (missing closing parenthesis)
        pcrec owed: a rejection naming a module ("... requires module '...'")
        pcrec said: "(*alpha_assertion) not recognized"
PASS: K15 exclusion: fired on the over-cap non-identifier cell and nowhere else (see docs/dev/known_issues.md K15)
  K15 cells excluded (over-cap non-identifier verb names, category divergence ruled acceptable): 78
  verb names probed: 93936 candidates x 13 forms = 1221168 probes
  candidates dropped: 0 over the 256-byte cap, 0 for a full set
  libpcre2 verdicts: 1576 compile, 692368 err160, 486595 err195, 23 err166, 1248 err109, 104 err148, 39254 other(recognised)
  the recognised-but-refused bucket, by code:
       114  n=38909  missing closing parenthesis
       122  n=299    unmatched closing parenthesis
       218  n=34     missing opening parenthesis
       204  n=12     PCRE2_EXTRA_TURKISH_CASING require Unicode (UTF or UCP) mode
  (only the first 20 of 38854 mismatches were printed)
PASS: verb differential liveness: some candidate compiled
PASS: verb differential liveness: some candidate was an unknown upper-table name
PASS: verb differential liveness: some candidate was an unknown lower-table name
PASS: verb differential liveness: some candidate was recognised and refused
  candidates by source: 31657 from libpcre2's binary, 62048 from mutations of pcrec's table, 231 generated
PASS: every verb name pcrec claims was produced INDEPENDENTLY by libpcre2's own binary
PASS: libpcre2's binary supplied the bulk of the candidate pool
  class-bracket doorway: 2772 generated patterns — 2755 agree, 17 deferred to a module
PASS: class-bracket doorway: probe count intact (2772)
PASS: class-bracket doorway: pattern set unchanged (0x69e3ddacf18fce3f)
  of the 1201 both-refuse cases, 0 name a module wrongly, 4 name one for a construct PCRE2 has in a pattern that merely never closed
PASS: class-bracket doorway: no module promised for a pattern PCRE2 will never accept
PASS: class-bracket doorway: no over-acceptance and no over-rejection
PASS: class-bracket sweep is live: it reaches the POSIX-class deferral
