trial	shape	wall_ms	load1
1	linked	3.283	5.74
1	dlopen	3.460	5.74
2	linked	3.646	5.74
2	dlopen	3.683	5.74
3	linked	3.664	5.74
3	dlopen	3.375	5.74
4	linked	3.742	5.74
4	dlopen	3.276	5.74
5	linked	3.404	5.74
5	dlopen	3.401	5.74
6	linked	3.673	5.74
6	dlopen	3.454	5.74
7	linked	3.650	5.74
7	dlopen	3.760	5.74
8	linked	3.753	5.74
8	dlopen	3.696	5.74
9	linked	3.604	5.74
9	dlopen	3.602	5.74
10	linked	3.511	5.74
10	dlopen	3.870	5.74
11	linked	3.251	5.74
11	dlopen	3.207	5.74
12	linked	3.306	5.74
12	dlopen	3.271	5.74
13	linked	3.370	5.74
13	dlopen	3.553	5.74
14	linked	3.672	5.74
14	dlopen	3.522	5.74
15	linked	3.718	5.74
15	dlopen	3.539	5.74
16	linked	3.522	5.74
16	dlopen	3.377	5.74
17	linked	3.294	5.74
17	dlopen	3.835	5.74
18	linked	3.603	5.74
18	dlopen	3.422	5.74
19	linked	3.406	5.74
19	dlopen	3.985	5.74
20	linked	3.725	5.74
20	dlopen	3.883	5.74
