c_before already built
c_after already built
rung 1  \d{2}y                     forward edges = 1  OK
rung 2  \d{2}y\d{2}                forward edges = 2  OK
rung 3  \d{2}y\d{2}y\d{2}          forward edges = 3  OK
rung 4  \d{2}y\d{2}y\d{2}y\d{4}    forward edges = 4  OK
OUT=out PCREC=/home/duxevents/pcrec/build/pcrec ./run_ladder.sh
rung 1  pattern \d{2}y                       forward edges = 1  (want 1)
rung 2  pattern \d{2}y\d{2}                  forward edges = 2  (want 2)
rung 3  pattern \d{2}y\d{2}y\d{2}            forward edges = 3  (want 3)
rung 4  pattern \d{2}y\d{2}y\d{2}y\d{4}      forward edges = 4  (want 4)

round  rung  before   after    step11   noedge   after/before  step11/after
    1     1   1.9488  1.7505  1.7380  1.7446     0.8983        0.9929
    1     2   3.4085  3.3165  3.3181  4.9348     0.9730        1.0005
    1     3   3.8905  3.2883  3.2895  4.4369     0.8452        1.0003
    1     4   1.6576  1.3807  1.5852  1.7904     0.8330        1.1481
    2     1   2.4423  1.4335  1.4438  1.4350     0.5870        1.0072
    2     2   2.7404  2.7429  2.7304  4.0365     1.0009        0.9954
    2     3   2.9764  2.7958  2.7718  3.8430     0.9393        0.9914
    2     4   1.6646  1.4246  1.4546  1.8119     0.8558        1.0211
    3     1   3.6234  3.1528  3.1529  3.1682     0.8701        1.0000
    3     2   5.0935  2.7295  2.7423  4.0338     0.5359        1.0047
    3     3   3.0052  2.7048  2.7044  3.8472     0.9001        0.9998
    3     4   1.9928  1.6783  1.6951  2.1795     0.8422        1.0100
    4     1   4.0621  1.7402  1.4907  1.4335     0.4284        0.8566
    4     2   3.3687  3.3699  3.3268  5.0016     1.0004        0.9872
    4     3   3.5929  2.8140  2.7337  3.8538     0.7832        0.9715
    4     4   2.0595  1.8053  1.6911  2.1917     0.8766        0.9367
    5     1   1.7217  1.4380  1.4368  1.4357     0.8352        0.9992
    5     2   2.8248  2.7826  2.7159  4.0460     0.9850        0.9760
    5     3   2.9923  2.7018  2.8345  3.8303     0.9029        1.0491
    5     4   1.7017  1.3791  1.3787  1.7936     0.8104        0.9997
    6     1   3.3389  3.1604  3.1755  3.1846     0.9465        1.0048
    6     2   6.2176  5.8227  2.7467  4.0684     0.9365        0.4717
    6     3   3.0072  2.7146  2.7139  3.8188     0.9027        0.9997
    6     4   1.6637  1.4543  1.4102  1.8038     0.8741        0.9697
    7     1   2.4811  1.4276  1.4354  1.4452     0.5754        1.0054
    7     2   2.7532  2.7366  2.7483  4.0306     0.9939        1.0043
    7     3   2.9286  2.7711  2.8984  3.8579     0.9462        1.0459
    7     4   2.0366  1.7788  1.6857  2.1959     0.8734        0.9477
    8     1   1.7065  1.4356  1.4294  1.4358     0.8413        0.9956
    8     2   3.3336  5.3082  2.7862  4.0223     1.5923        0.5249
    8     3   2.9994  2.7075  2.7174  3.8205     0.9027        1.0037
    8     4   3.6588  1.7235  1.6815  2.1954     0.4711        0.9756
    9     1   1.8917  1.7924  1.7417  1.7522     0.9475        0.9717
    9     2   3.3550  3.3318  3.3292  4.9190     0.9931        0.9992
    9     3   2.9756  2.8328  2.7177  3.8420     0.9520        0.9594
    9     4   1.9993  1.6748  1.6710  2.1890     0.8377        0.9977
   10     1   1.6541  1.4303  1.4303  1.4418     0.8647        1.0000
   10     2   5.1471  2.7917  2.7329  4.0410     0.5424        0.9789
   10     3   2.9618  2.7711  2.7748  3.8310     0.9356        1.0013
   10     4   1.6735  1.3941  1.3925  1.7997     0.8331        0.9989
   11     1   3.3305  3.1765  3.1828  3.1769     0.9537        1.0020
   11     2   5.8238  2.7740  2.7790  4.0326     0.4763        1.0018
   11     3   3.0128  2.7427  2.7272  3.8331     0.9104        0.9944
   11     4   1.6565  1.3887  1.3894  1.7930     0.8383        1.0006
   12     1   1.5955  1.4356  1.4351  1.4359     0.8998        0.9996
   12     2   2.8203  2.7765  2.8303  4.0324     0.9845        1.0194
   12     3   2.9146  2.6540  2.7179  3.8232     0.9106        1.0241
   12     4   1.6848  1.4208  1.3804  1.7960     0.8433        0.9716
   13     1   4.0630  1.7369  1.7443  1.7415     0.4275        1.0042
   13     2   3.3644  2.7608  2.7839  4.0758     0.8206        1.0083
   13     3   2.9830  2.8076  2.6527  3.8673     0.9412        0.9448
   13     4   1.6662  1.4852  1.3889  1.8164     0.8914        0.9352
   14     1   1.6492  1.4320  1.4316  1.4409     0.8683        0.9997
   14     2   2.8369  2.7396  2.7418  4.0533     0.9657        1.0008
   14     3   4.2057  2.7979  2.6996  4.0527     0.6653        0.9649
   14     4   1.6649  1.4383  1.4640  1.8002     0.8639        1.0179
   15     1   2.8845  1.4325  1.4377  1.4343     0.4966        1.0037
   15     2   2.7496  2.7982  2.7899  4.0957     1.0177        0.9970
   15     3   2.9197  2.8044  6.6197  3.8842     0.9605        2.3604
   15     4   1.6588  1.3894  1.3797  1.7915     0.8376        0.9930

valid rounds per rung: 1=15 2=15 3=15 4=15
