# clone_candidates.py -- commit ed15116d53f31c499b50d6ba69018362b6f1c8a7 -- generated 2026-09-21 -- rows 295 k=20 w=8
group_id	group_size	file	function	start_line	end_line	code_lines	shared_fingerprints	group_frac
1	40	src/core/internal.h	pcrec_ast_visit	4001	4028	24	16	0.571
1	40	src/gen/emit_vm.c	vm_nullable	1281	1430	29	30	0.652
1	40	src/gen/emit_vm.c	vm_rev_caps	1925	1987	28	10	0.345
1	40	src/gen/emit_vm.c	vm_alt_flatten	2120	2131	12	19	0.731
1	40	src/gen/emit_vm.c	vm_cost	2712	2747	20	6	0.231
1	40	src/gen/emit_vm.c	vm_count_slots	2976	3155	57	7	0.079
1	40	src/gen/emit_vm.c	vm_isl_words	3705	3788	77	21	0.118
1	40	src/gen/emit_vm.c	vm_rev_emit	4997	5152	95	45	0.221
1	40	src/gen/emit_vm.c	vm_walk_caps	6995	7021	27	25	0.694
1	40	src/gen/emit_vm.c	vm_walk_calls	7078	7103	26	19	0.633
1	40	src/gen/emit_vm.c	vm_cat	8252	8288	24	27	0.458
1	40	src/ir/nfa.c	frag_star	188	205	18	8	0.276
1	40	src/ir/nfa.c	compile_ast	583	977	121	41	0.160
1	40	src/opt/altcls.c	altcls_walk	397	513	41	11	0.393
1	40	src/opt/atomic.c	pcrec_has_atomic	59	117	32	28	1.000
1	40	src/opt/atomic.c	pcrec_has_lookaround	148	190	31	28	1.000
1	40	src/opt/atomic.c	pcrec_has_collapsible_rep	219	262	35	18	0.500
1	40	src/opt/atomic.c	pcrec_ast_stamped_by	287	332	31	16	0.571
1	40	src/opt/atomic.c	dis_walk	426	514	29	6	0.194
1	40	src/opt/atomic.c	pcrec_has_bref	560	609	31	28	1.000
1	40	src/opt/atomic.c	pcrec_bref_mark	626	697	35	21	0.429
1	40	src/opt/atomic.c	pcrec_has_live_capture	785	862	36	26	0.743
1	40	src/opt/atomic.c	pcrec_has_linked_call	896	926	30	23	0.793
1	40	src/opt/atomic.c	pcrec_has_call	930	961	30	28	1.000
1	40	src/opt/lower_enc.c	subtree_is_identity	473	506	33	19	0.487
1	40	src/opt/lower_enc.c	cap_sig	589	618	28	15	0.577
1	40	src/opt/mrl.c	pcrec_minw	120	254	40	35	1.000
1	40	src/opt/mrl.c	pcrec_cwmax	304	423	45	28	0.549
1	40	src/opt/mrl.c	pcrec_cwmin	442	497	41	35	1.000
1	40	src/opt/possessify.c	pss_walk	888	1108	60	8	0.095
1	40	src/opt/revdet.c	rd_reverse	295	447	58	15	0.200
1	40	src/opt/revdet.c	rd_alt_disjoint	572	649	43	17	0.327
1	40	src/opt/revdet.c	rd_walk	699	768	27	9	0.321
1	40	src/opt/select_engine.c	first_dfa_excluding	200	310	34	10	0.278
1	40	src/parse/definitions.c	pcrec_ast_is_core	147	173	25	4	0.667
1	40	src/parse/mod_backrefs.c	br_strip_caps	606	671	40	38	0.776
1	40	src/parse/mod_lookaround.c	la_has_kreset	186	252	26	18	0.692
1	40	src/parse/parse.c	pcrec_is_bare_anchor	121	201	17	6	0.750
1	40	src/parse/rxt_compose.c	rc_remap_caps	285	326	42	38	0.731
1	40	src/parse/rxt_compose.c	rc_find_root_call	439	457	19	4	0.182
2	14	src/dump/syntax_dump.c	kind_name	137	153	12	3	1.000
2	14	src/dump/syntax_dump.c	doorway_name	157	176	12	3	1.000
2	14	src/dump/syntax_dump.c	diag_name	190	199	10	3	1.000
2	14	src/dump/syntax_dump.c	doorway_word	1066	1083	12	3	1.000
2	14	src/parse/definitions.c	pcrec_def_tag_name	121	133	13	3	1.000
2	14	src/parse/rxt_schema.c	pcrec_rxt_scope_name	143	155	13	5	1.000
2	14	src/parse/rxt_schema.c	pcrec_rxt_value_name	158	174	17	3	1.000
2	14	src/parse/rxt_schema.c	pcrec_rxt_children_name	177	189	13	3	1.000
2	14	src/parse/rxt_schema.c	pcrec_rxt_cardinality_name	192	201	10	3	1.000
2	14	src/parse/rxt_schema.c	pcrec_rxt_constraint_name	240	253	14	5	1.000
2	14	src/parse/rxt_schema.c	pcrec_rxt_scope_context	322	334	13	5	1.000
2	14	src/parse/rxt_schema.c	pcrec_rxt_scope_noun	339	351	13	5	1.000
