# function_census.py -- commit 7e42b86a77c5afbbf3a54ca0aa6a2c47f7a43df0 -- generated 2026-09-20 -- rows 917
file	start_line	end_line	span_lines	code_lines	max_depth	name	header
src/gen/emit_vm.c	9388	12196	2809	707	4	pcrec_emit_vm	header
src/parse/rxt_source.c	2159	3133	975	548	5	pcrec_rxt_source_parse	header
src/core/compile.c	624	1937	1314	424	5	compile_driver	header
cli/main.c	1416	1951	536	333	4	main	header
src/gen/emit_vm.c	8529	9109	581	298	4	vm_render_listing	header
src/gen/emit_dfa.c	6142	6659	518	211	4	emit_attempt	header
cli/main.c	693	996	304	202	4	cli_parse	header
src/dump/axes_dump.c	410	731	322	193	3	emit_predicate_axes	header
src/gen/emit_vm.c	4933	5245	313	171	3	vm_revdet_rep	header
src/parse/rxt_source.c	3916	4137	222	167	3	pcrec_rxt_source_tsv	header
src/gen/emit_vm.c	4153	4501	349	147	4	vm_cursor_rep	header
src/parse/rxt_compose.c	766	1047	282	146	4	pcrec_rxt_compose	header
src/dump/syntax_dump.c	1620	1881	262	145	4	pcrec_syntax_explain	header
src/parse/rxt_source.c	3594	3829	236	140	4	pcrec_rxt_source_resolve	header
src/parse/mod_backrefs.c	337	486	150	125	4	pcrec_brport_g	header
src/parse/mod_modifiers.c	263	509	247	125	4	pcrec_modport_optrun	header
src/ir/nfa.c	583	977	395	121	6	compile_ast	header
src/opt/select_engine.c	499	1058	560	117	4	pcrec_select_engine	header
src/gen/emit_vm.c	1979	2238	260	112	4	vm_cost_rep	header
src/gen/emit_vm.c	5306	5485	180	112	5	vm_counter_phase	header
src/opt/minimize.c	74	231	158	112	5	pcrec_minimize_dfa	header
src/parse/parse.c	980	1265	286	111	4	p_class	header
cli/main.c	1263	1405	143	108	5	compile_source	header
src/opt/scanedge.c	482	705	224	108	4	pcrec_scanedge_dfa	header
src/opt/prefix_k.c	386	583	198	107	3	pcrec_prefix_ksets	header
src/gen/emit_dfa.c	1545	1976	432	106	3	emit_info_def	header
src/gen/emit_vm.c	8016	8253	238	103	3	vm_emit	header
src/opt/callgraph.c	676	880	205	102	5	pcrec_callgraph_build	header
src/opt/possessify.c	175	455	281	100	4	first_of	header
src/gen/emit_vm.c	2248	2585	338	98	5	vm_cost	header
src/ir/dfa.c	626	826	201	96	5	clo_walk	header
src/gen/emit_vm.c	4767	4922	156	95	4	vm_rev_emit	header
cli/main.c	1072	1248	177	92	3	apply_target	header
src/gen/emit_dfa.c	3311	3451	141	91	4	emit_state_legend	header
src/dump/syntax_dump.c	1400	1550	151	88	3	put_agreement	header
src/parse/mod_uprops.c	348	537	190	88	3	pcrec_modport_uprops	header
src/parse/rxt_source.c	1542	1653	112	88	5	parse_case_body	header
src/ir/dfa.c	1274	1505	232	86	4	pcrec_build_dfa	header
src/ir/nfa.c	408	531	124	86	5	trie_build	header
src/ir/dfa.c	946	1110	165	84	3	intern	header
src/gen/emit_vm.c	5793	5957	165	82	3	vm_rep	header
src/opt/possessify.c	558	715	158	82	5	gk_build	header
