# include_graph.py -- commit ed15116d53f31c499b50d6ba69018362b6f1c8a7 -- generated 2026-09-21 -- rows 208
from_file	line	spelling	kind	resolved_to	from_layer	to_layer
cli/main.c	7	limits.h	SYSTEM	<system>	cli	external
cli/main.c	8	stdarg.h	SYSTEM	<system>	cli	external
cli/main.c	9	stddef.h	SYSTEM	<system>	cli	external
cli/main.c	10	stdio.h	SYSTEM	<system>	cli	external
cli/main.c	11	stdlib.h	SYSTEM	<system>	cli	external
cli/main.c	12	string.h	SYSTEM	<system>	cli	external
cli/main.c	13	sys/stat.h	SYSTEM	<system>	cli	external
cli/main.c	15	pcrec.h	LOCAL	lib/pcrec.h	cli	lib
cli/main.c	20	core/internal.h	LOCAL	src/core/internal.h	cli	core
cli/main.c	23	enc/enc.h	LOCAL	src/enc/enc.h	cli	enc
cli/main.c	674	core/axes.def	LOCAL	src/core/axes.def	cli	core
lib/pcrec.h	7	stddef.h	SYSTEM	<system>	lib	external
lib/pcrec.h	8	stdint.h	SYSTEM	<system>	lib	external
src/core/arena.c	1	stdlib.h	SYSTEM	<system>	core	external
src/core/arena.c	2	string.h	SYSTEM	<system>	core	external
src/core/arena.c	4	core/internal.h	LOCAL	src/core/internal.h	core	core
src/core/compile.c	5	ctype.h	SYSTEM	<system>	driver	external
src/core/compile.c	6	limits.h	SYSTEM	<system>	driver	external
src/core/compile.c	7	stdint.h	SYSTEM	<system>	driver	external
src/core/compile.c	8	stdarg.h	SYSTEM	<system>	driver	external
src/core/compile.c	9	stdio.h	SYSTEM	<system>	driver	external
src/core/compile.c	10	stdlib.h	SYSTEM	<system>	driver	external
src/core/compile.c	11	string.h	SYSTEM	<system>	driver	external
src/core/compile.c	13	core/internal.h	LOCAL	src/core/internal.h	driver	core
src/core/compile.c	14	enc/enc.h	LOCAL	src/enc/enc.h	driver	enc
src/core/compile.c	90	core/axes.def	LOCAL	src/core/axes.def	driver	core
src/core/compile_defs.c	36	core/internal.h	LOCAL	src/core/internal.h	core	core
src/core/compile_defs.c	37	pcrec.h	LOCAL	lib/pcrec.h	core	lib
src/core/cpset.c	58	string.h	SYSTEM	<system>	core	external
src/core/cpset.c	60	core/internal.h	LOCAL	src/core/internal.h	core	core
src/core/fold.c	57	core/internal.h	LOCAL	src/core/internal.h	core	core
src/core/fold.c	93	fold_tables.inc	LOCAL	src/core/fold_tables.inc	core	core
src/core/internal.h	5	setjmp.h	SYSTEM	<system>	core	external
src/core/internal.h	6	stdarg.h	SYSTEM	<system>	core	external
src/core/internal.h	7	stdbool.h	SYSTEM	<system>	core	external
src/core/internal.h	8	stddef.h	SYSTEM	<system>	core	external
src/core/internal.h	9	stdint.h	SYSTEM	<system>	core	external
src/core/internal.h	11	pcrec.h	LOCAL	lib/pcrec.h	core	lib
src/core/internal.h	14	core/limits.h	LOCAL	src/core/limits.h	core	core
src/core/internal.h	1445	core/limits.def	LOCAL	src/core/limits.def	core	core
src/core/limits.h	712	core/limits.def	LOCAL	src/core/limits.def	core	core
src/core/sb.c	1	ctype.h	SYSTEM	<system>	core	external
src/core/sb.c	2	stdarg.h	SYSTEM	<system>	core	external
src/core/sb.c	3	stdio.h	SYSTEM	<system>	core	external
src/core/sb.c	4	stdlib.h	SYSTEM	<system>	core	external
src/core/sb.c	5	string.h	SYSTEM	<system>	core	external
src/core/sb.c	7	core/internal.h	LOCAL	src/core/internal.h	core	core
src/core/tune.c	50	stdio.h	SYSTEM	<system>	core	external
src/core/tune.c	51	string.h	SYSTEM	<system>	core	external
src/core/tune.c	53	internal.h	LOCAL	src/core/internal.h	core	core
src/dump/axes_dump.c	73	stdio.h	SYSTEM	<system>	dump	external
src/dump/axes_dump.c	74	string.h	SYSTEM	<system>	dump	external
src/dump/axes_dump.c	76	core/internal.h	LOCAL	src/core/internal.h	dump	core
src/dump/axes_dump.c	77	pcrec.h	LOCAL	lib/pcrec.h	dump	lib
src/dump/axes_dump.c	212	core/axes.def	LOCAL	src/core/axes.def	dump	core
src/dump/axes_dump.c	227	core/axes.def	LOCAL	src/core/axes.def	dump	core
src/dump/limits_dump.c	25	stdio.h	SYSTEM	<system>	dump	external
src/dump/limits_dump.c	26	string.h	SYSTEM	<system>	dump	external
src/dump/limits_dump.c	28	core/internal.h	LOCAL	src/core/internal.h	dump	core
src/dump/limits_dump.c	29	pcrec.h	LOCAL	lib/pcrec.h	dump	lib
src/dump/limits_dump.c	98	core/limits.def	LOCAL	src/core/limits.def	dump	core
src/dump/schema_dump.c	41	stdio.h	SYSTEM	<system>	dump	external
src/dump/schema_dump.c	42	string.h	SYSTEM	<system>	dump	external
src/dump/schema_dump.c	44	core/internal.h	LOCAL	src/core/internal.h	dump	core
src/dump/schema_dump.c	45	pcrec.h	LOCAL	lib/pcrec.h	dump	lib
src/dump/syntax_dump.c	26	stdio.h	SYSTEM	<system>	dump	external
src/dump/syntax_dump.c	27	stdlib.h	SYSTEM	<system>	dump	external
src/dump/syntax_dump.c	28	string.h	SYSTEM	<system>	dump	external
src/dump/syntax_dump.c	30	core/internal.h	LOCAL	src/core/internal.h	dump	core
src/dump/syntax_dump.c	31	parse/parse_mods.h	LOCAL	src/parse/parse_mods.h	dump	parse
src/enc/enc.c	13	string.h	SYSTEM	<system>	enc	external
src/enc/enc.c	15	enc/enc.h	LOCAL	src/enc/enc.h	enc	enc
src/enc/enc.h	48	core/internal.h	LOCAL	src/core/internal.h	enc	core
src/enc/enc_byte.c	13	enc/enc.h	LOCAL	src/enc/enc.h	enc	enc
src/enc/enc_utf8.c	25	enc/enc.h	LOCAL	src/enc/enc.h	enc	enc
src/enc/enc_utf8.c	171	utf8_fold_pairs.inc	LOCAL	src/enc/utf8_fold_pairs.inc	enc	enc
src/gen/emit_dfa.c	35	ctype.h	SYSTEM	<system>	gen	external
src/gen/emit_dfa.c	36	stdio.h	SYSTEM	<system>	gen	external
src/gen/emit_dfa.c	37	stdlib.h	SYSTEM	<system>	gen	external
src/gen/emit_dfa.c	38	string.h	SYSTEM	<system>	gen	external
src/gen/emit_dfa.c	40	core/internal.h	LOCAL	src/core/internal.h	gen	core
src/gen/emit_dfa.c	41	enc/enc.h	LOCAL	src/enc/enc.h	gen	enc
src/gen/emit_vm.c	57	stdarg.h	SYSTEM	<system>	gen	external
src/gen/emit_vm.c	58	stdio.h	SYSTEM	<system>	gen	external
src/gen/emit_vm.c	59	string.h	SYSTEM	<system>	gen	external
src/gen/emit_vm.c	61	core/internal.h	LOCAL	src/core/internal.h	gen	core
src/gen/emit_vm.c	67	enc/enc.h	LOCAL	src/enc/enc.h	gen	enc
src/gen/emit_vm.c	119	core/limits.def	LOCAL	src/core/limits.def	gen	core
src/ir/dfa.c	104	stdio.h	SYSTEM	<system>	ir	external
src/ir/dfa.c	105	stdlib.h	SYSTEM	<system>	ir	external
src/ir/dfa.c	106	string.h	SYSTEM	<system>	ir	external
src/ir/dfa.c	108	core/internal.h	LOCAL	src/core/internal.h	ir	core
src/ir/dfa.c	111	enc/enc.h	LOCAL	src/enc/enc.h	ir	enc
src/ir/nfa.c	29	stdlib.h	SYSTEM	<system>	ir	external
src/ir/nfa.c	30	string.h	SYSTEM	<system>	ir	external
src/ir/nfa.c	32	core/internal.h	LOCAL	src/core/internal.h	ir	core
src/ir/nfa.c	35	enc/enc.h	LOCAL	src/enc/enc.h	ir	enc
src/opt/altcls.c	100	string.h	SYSTEM	<system>	opt	external
src/opt/altcls.c	102	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/atomic.c	38	string.h	SYSTEM	<system>	opt	external
src/opt/atomic.c	40	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/callgraph.c	82	string.h	SYSTEM	<system>	opt	external
src/opt/callgraph.c	84	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/lower_enc.c	133	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/lower_enc.c	134	enc/enc.h	LOCAL	src/enc/enc.h	opt	enc
src/opt/minimize.c	32	stdlib.h	SYSTEM	<system>	opt	external
src/opt/minimize.c	33	string.h	SYSTEM	<system>	opt	external
src/opt/minimize.c	35	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/mrl.c	68	string.h	SYSTEM	<system>	opt	external
src/opt/mrl.c	70	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/possessify.c	100	string.h	SYSTEM	<system>	opt	external
src/opt/possessify.c	102	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/possessify.c	103	core/limits.h	LOCAL	src/core/limits.h	opt	core
src/opt/postresolve.c	68	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/prefix_k.c	40	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/prefix_k.c	42	string.h	SYSTEM	<system>	opt	external
src/opt/revdet.c	56	string.h	SYSTEM	<system>	opt	external
src/opt/revdet.c	58	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/revdet.c	59	core/limits.h	LOCAL	src/core/limits.h	opt	core
src/opt/scanedge.c	170	stdlib.h	SYSTEM	<system>	opt	external
src/opt/scanedge.c	171	string.h	SYSTEM	<system>	opt	external
src/opt/scanedge.c	173	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/opt/select_engine.c	59	stdio.h	SYSTEM	<system>	opt	external
src/opt/select_engine.c	60	string.h	SYSTEM	<system>	opt	external
src/opt/select_engine.c	62	core/internal.h	LOCAL	src/core/internal.h	opt	core
src/parse/definitions.c	23	assert.h	SYSTEM	<system>	parse	external
src/parse/definitions.c	24	ctype.h	SYSTEM	<system>	parse	external
src/parse/definitions.c	25	string.h	SYSTEM	<system>	parse	external
src/parse/definitions.c	27	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/definitions.c	28	parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/enabled.c	33	stdio.h	SYSTEM	<system>	parse	external
src/parse/enabled.c	34	string.h	SYSTEM	<system>	parse	external
src/parse/enabled.c	36	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/ext.c	50	stdio.h	SYSTEM	<system>	parse	external
src/parse/ext.c	51	string.h	SYSTEM	<system>	parse	external
src/parse/ext.c	53	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_assertions.c	65	stdio.h	SYSTEM	<system>	parse	external
src/parse/mod_assertions.c	66	string.h	SYSTEM	<system>	parse	external
src/parse/mod_assertions.c	68	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_atomic_groups.c	61	stdio.h	SYSTEM	<system>	parse	external
src/parse/mod_atomic_groups.c	62	string.h	SYSTEM	<system>	parse	external
src/parse/mod_atomic_groups.c	64	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_atomic_groups.c	65	parse/parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/mod_backrefs.c	52	ctype.h	SYSTEM	<system>	parse	external
src/parse/mod_backrefs.c	53	stdio.h	SYSTEM	<system>	parse	external
src/parse/mod_backrefs.c	54	string.h	SYSTEM	<system>	parse	external
src/parse/mod_backrefs.c	56	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_backrefs.c	57	parse/parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/mod_backrefs.c	67	core/limits.def	LOCAL	src/core/limits.def	parse	core
src/parse/mod_classes.c	19	string.h	SYSTEM	<system>	parse	external
src/parse/mod_classes.c	21	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_classes.c	23	cls_bits.inc	LOCAL	src/parse/cls_bits.inc	parse	parse
src/parse/mod_lookaround.c	85	limits.h	SYSTEM	<system>	parse	external
src/parse/mod_lookaround.c	86	stdio.h	SYSTEM	<system>	parse	external
src/parse/mod_lookaround.c	87	string.h	SYSTEM	<system>	parse	external
src/parse/mod_lookaround.c	89	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_lookaround.c	90	parse/parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/mod_lookaround.c	359	core/limits.def	LOCAL	src/core/limits.def	parse	core
src/parse/mod_modifiers.c	37	stdio.h	SYSTEM	<system>	parse	external
src/parse/mod_modifiers.c	39	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_modifiers.c	40	parse/parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/mod_named_groups.c	65	ctype.h	SYSTEM	<system>	parse	external
src/parse/mod_named_groups.c	66	stdio.h	SYSTEM	<system>	parse	external
src/parse/mod_named_groups.c	67	string.h	SYSTEM	<system>	parse	external
src/parse/mod_named_groups.c	69	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_named_groups.c	70	parse/parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/mod_recursion.c	71	ctype.h	SYSTEM	<system>	parse	external
src/parse/mod_recursion.c	72	stdio.h	SYSTEM	<system>	parse	external
src/parse/mod_recursion.c	73	string.h	SYSTEM	<system>	parse	external
src/parse/mod_recursion.c	75	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_recursion.c	76	parse/parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/mod_recursion.c	86	core/limits.def	LOCAL	src/core/limits.def	parse	core
src/parse/mod_uprops.c	135	stdio.h	SYSTEM	<system>	parse	external
src/parse/mod_uprops.c	136	string.h	SYSTEM	<system>	parse	external
src/parse/mod_uprops.c	138	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/mod_uprops.c	139	parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/mod_uprops.c	142	uprops_tables.inc	LOCAL	src/parse/uprops_tables.inc	parse	parse
src/parse/mod_verbs.c	113	stdio.h	SYSTEM	<system>	parse	external
src/parse/mod_verbs.c	114	string.h	SYSTEM	<system>	parse	external
src/parse/mod_verbs.c	116	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/parse.c	26	stdio.h	SYSTEM	<system>	parse	external
src/parse/parse.c	27	string.h	SYSTEM	<system>	parse	external
src/parse/parse.c	29	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/parse.c	30	parse/parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/parse.c	36	enc/enc.h	LOCAL	src/enc/enc.h	parse	enc
src/parse/parse_mods.h	37	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/registry.c	116	string.h	SYSTEM	<system>	parse	external
src/parse/registry.c	118	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/rxt_compose.c	72	string.h	SYSTEM	<system>	parse	external
src/parse/rxt_compose.c	74	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/rxt_compose.c	75	enc/enc.h	LOCAL	src/enc/enc.h	parse	enc
src/parse/rxt_compose.c	76	parse/parse_mods.h	LOCAL	src/parse/parse_mods.h	parse	parse
src/parse/rxt_schema.c	23	stddef.h	SYSTEM	<system>	parse	external
src/parse/rxt_schema.c	24	string.h	SYSTEM	<system>	parse	external
src/parse/rxt_schema.c	26	pcrec.h	LOCAL	lib/pcrec.h	parse	lib
src/parse/rxt_schema.c	27	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/rxt_schema.c	38	parse/rxt_schema.def	LOCAL	src/parse/rxt_schema.def	parse	parse
src/parse/rxt_source.c	48	ctype.h	SYSTEM	<system>	parse	external
src/parse/rxt_source.c	49	errno.h	SYSTEM	<system>	parse	external
src/parse/rxt_source.c	50	stdarg.h	SYSTEM	<system>	parse	external
src/parse/rxt_source.c	51	stdio.h	SYSTEM	<system>	parse	external
src/parse/rxt_source.c	52	stdlib.h	SYSTEM	<system>	parse	external
src/parse/rxt_source.c	53	string.h	SYSTEM	<system>	parse	external
src/parse/rxt_source.c	54	sys/stat.h	SYSTEM	<system>	parse	external
src/parse/rxt_source.c	56	pcrec.h	LOCAL	lib/pcrec.h	parse	lib
src/parse/rxt_source.c	57	core/internal.h	LOCAL	src/core/internal.h	parse	core
src/parse/rxt_source.c	68	core/limits.def	LOCAL	src/core/limits.def	parse	core
src/parse/scans.c	19	core/internal.h	LOCAL	src/core/internal.h	parse	core
