# literal_census.py --freq-out -- commit 1edd6c5eb643d9b3b0c559ff686c35ecfb645493 -- generated 2026-09-17 -- rows 5149
kind	literal	count	distinct_files	sample_files
NUM	0	2537	51	cli/main.c,lib/pcrec.h,src/core/arena.c,src/core/compile.c,src/core/cpset.c,...(+46)
NUM	1	1055	45	cli/main.c,lib/pcrec.h,src/core/compile.c,src/core/cpset.c,src/core/fold.c,...(+40)
NUM	2	397	31	cli/main.c,lib/pcrec.h,src/core/compile.c,src/core/cpset.c,src/core/fold.c,...(+26)
STR	""	260	22	cli/main.c,src/core/internal.h,src/core/sb.c,src/gen/emit_dfa.c,src/gen/emit_vm.c,...(+17)
NUM	32	142	12	src/core/cpset.c,src/core/internal.h,src/gen/emit_dfa.c,src/gen/emit_vm.c,src/gen/enc/enc_utf8.c,...(+7)
STR	'\t'	131	10	cli/main.c,src/core/compile.c,src/gen/emit_dfa.c,src/parse/mod_backrefs.c,src/parse/mod_uprops.c,...(+5)
STR	'%s'	130	14	cli/main.c,src/core/compile.c,src/core/internal.h,src/gen/emit_dfa.c,src/gen/emit_vm.c,...(+9)
NUM	256	77	14	cli/main.c,lib/pcrec.h,src/core/cpset.c,src/core/fold.c,src/core/internal.h,...(+9)
NUM	1u	69	6	lib/pcrec.h,src/core/internal.h,src/gen/enc/enc.h,src/opt/lower_enc.c,src/opt/prefix_k.c,...(+1)
NUM	3	59	13	cli/main.c,lib/pcrec.h,src/core/compile.c,src/core/internal.h,src/gen/emit_vm.c,...(+8)
STR	' '	59	11	cli/main.c,src/core/compile.c,src/gen/enc/enc.c,src/parse/mod_backrefs.c,src/parse/mod_uprops.c,...(+6)
NUM	4	49	14	cli/main.c,lib/pcrec.h,src/core/compile.c,src/core/internal.h,src/gen/emit_dfa.c,...(+9)
STR	"core/internal.h"	47	47	cli/main.c,src/core/arena.c,src/core/compile.c,src/core/cpset.c,src/core/fold.c,...(+42)
STR	'\n'	44	8	cli/main.c,src/core/compile.c,src/gen/emit_dfa.c,src/gen/emit_vm.c,src/gen/enc/enc.c,...(+3)
STR	"\n"	44	4	cli/main.c,src/gen/emit_dfa.c,src/gen/emit_vm.c,src/gen/enc/enc_utf8.c
STR	'-'	43	10	cli/main.c,src/core/tune.c,src/parse/mod_backrefs.c,src/parse/mod_modifiers.c,src/parse/mod_recursion.c,...(+5)
STR	" *\n"	43	4	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
STR	"%s"	41	12	src/gen/emit_vm.c,src/parse/axes_dump.c,src/parse/enabled.c,src/parse/ext.c,src/parse/mod_backrefs.c,...(+7)
STR	"none"	40	8	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/axes_dump.c,src/parse/enabled.c,src/parse/limits_dump.c,...(+3)
STR	'\\'	34	8	cli/main.c,src/gen/emit_dfa.c,src/gen/emit_vm.c,src/parse/ext.c,src/parse/parse.c,...(+3)
NUM	8	33	15	cli/main.c,lib/pcrec.h,src/core/cpset.c,src/core/internal.h,src/gen/emit_dfa.c,...(+10)
STR	"{\n"	33	4	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
STR	'_'	31	5	src/core/compile.c,src/gen/emit_dfa.c,src/parse/mod_named_groups.c,src/parse/mod_uprops.c,src/parse/rxt_source.c
NUM	0xFF	31	3	src/core/cpset.c,src/gen/enc/enc_utf8.c,src/parse/definitions.c
STR	"    }\n"	30	4	src/gen/emit_dfa.c,src/gen/emit_vm.c,src/gen/enc/enc_byte.c,src/gen/enc/enc_utf8.c
